from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3 PERCENT
1,,1.0000,2,,1.0000*,225.5,1000.0,22.5,1.0 22547.3
1,,1.0000,39,,1.0000*,234.4,1000.0,23.4,1.0 23442.0
2,,1.0000,3,,1.0000*,367.6,1000.0,36.8,1.0 36756.0
2,,1.0000,25,,1.0000*,361.2,1000.0,36.1,1.0 36122.1
3,,1.0000*,4,,1.0000,404.0,1000.0,40.4,1.0 40401.8
3,,1.0000,18,,1.0000*,385.2,1000.0,38.5,1.0 38521.6
4,,1.0000*,5,,1.0000,361.0,1000.0,36.1,1.0 36099.3
4,,1.0000,14,,1.0000*,415.4,1000.0,41.5,1.0 41543.7
5,,1.0000*,6,,1.0000,60.4,1000.0,6.0,1.0  6040.6
5,,1.0000,8,,1.0000*,326.7,1000.0,32.7,1.0 32674.6
6,,1.0000,7,,1.0000*,351.5,1000.0,35.2,1.0 35151.5
6,,1.0000*,11,,1.0000,726.7,1000.0,72.7,1.0 72672.7
7,,1.0000,8,,1.0000*,106.1,1000.0,10.6,1.0 10605.9
8,,1.0000*,9,,1.0000,118.8,1000.0,11.9,1.0 11881.2
9,,1.0000,39,,1.0000*,174.5,1000.0,17.4,1.0 17445.2
10,,1.0000,11,,1.0000*,682.0,1000.0,68.2,1.0 68200.4
10,,1.0000,13,,1.0000*,129.1,1000.0,12.9,1.0 12912.6
13,,1.0000,14,,1.0000*,124.7,1000.0,12.5,1.0 12470.4
14,,1.0000*,15,,1.0000,501.7,1000.0,50.2,1.0 50171.9
15,,1.0000,16,,1.0000*,802.4,1000.0,80.2,1.0 80239.1
16,,1.0000,17,,1.0000*,662.1,1000.0,66.2,1.0 66210.5
16,,1.0000,19,,1.0000*,1442.4,500.0,288.5,1.0144240.8
16,,1.0000*,21,,1.0000,331.5,500.0,66.3,1.0 33152.4
16,,1.0000*,24,,1.0000,138.2,500.0,27.6,1.0 13822.8
17,,1.0000*,18,,1.0000,533.5,500.0,106.7,1.0 53348.8
17,,1.0000*,27,,1.0000,142.5,500.0,28.5,1.0 14253.4
21,,1.0000,22,,1.0000*,629.5,500.0,125.9,1.0 62951.9
22,,1.0000,23,,1.0000*,77.4,500.0,15.5,1.0  7744.5
23,,1.0000*,24,,1.0000,355.8,500.0,71.2,1.0 35583.9
25,,1.0000,26,,1.0000*,72.7,500.0,14.5,1.0  7266.4
26,,1.0000,27,,1.0000*,211.3,500.0,42.3,1.0 21131.1
26,,1.0000,28,,1.0000*,150.0,500.0,30.0,1.0 15002.8
26,,1.0000,29,,1.0000*,201.4,500.0,40.3,1.0 20139.9
28,,1.0000,29,,1.0000*,350.7,500.0,70.1,1.0 35072.0
