from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT
1,,1.0000*,2,,1.0000,152.6,1000.0,15.3
1,,1.0000,39,,1.0000*,186.6,1000.0,18.7
2,,1.0000*,3,,1.0000,363.2,1000.0,36.3
2,,1.0000,25,,1.0000*,294.8,1000.0,29.5
3,,1.0000*,4,,1.0000,180.0,1000.0,18.0
3,,1.0000,18,,1.0000*,151.3,1000.0,15.1
4,,1.0000*,5,,1.0000,137.7,1000.0,13.8
4,,1.0000,14,,1.0000*,312.6,1000.0,31.3
5,,1.0000,6,,1.0000*,333.9,1000.0,33.4
5,,1.0000,8,,1.0000*,338.4,1000.0,33.8
6,,1.0000*,7,,1.0000,416.9,1000.0,41.7
6,,1.0000,11,,1.0000*,489.9,1000.0,49.0
7,,1.0000,8,,1.0000*,169.7,1000.0,17.0
8,,1.0000,9,,1.0000*,54.6,1000.0,5.5
9,,1.0000,39,,1.0000*,166.9,1000.0,16.7
10,,1.0000*,11,,1.0000,466.1,1000.0,46.6
10,,1.0000,13,,1.0000*,206.3,1000.0,20.6
13,,1.0000,14,,1.0000*,185.6,1000.0,18.6
14,,1.0000,15,,1.0000*,170.6,1000.0,17.1
15,,1.0000,16,,1.0000*,449.2,1000.0,44.9
16,,1.0000*,17,,1.0000,347.4,1000.0,34.7
16,,1.0000,19,,1.0000*,750.8,500.0,150.2
16,,1.0000,21,,1.0000*,334.0,500.0,66.8
16,,1.0000*,24,,1.0000,94.4,500.0,18.9
17,,1.0000*,18,,1.0000,298.3,500.0,59.7
17,,1.0000*,27,,1.0000,53.2,500.0,10.6
21,,1.0000,22,,1.0000*,613.3,500.0,122.7
22,,1.0000,23,,1.0000*,74.2,500.0,14.8
23,,1.0000*,24,,1.0000,354.1,500.0,70.8
25,,1.0000,26,,1.0000*,62.6,500.0,12.5
26,,1.0000,27,,1.0000*,250.1,500.0,50.0
26,,1.0000,28,,1.0000*,155.6,500.0,31.1
26,,1.0000,29,,1.0000*,206.7,500.0,41.3
28,,1.0000,29,,1.0000*,352.3,500.0,70.5
