from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT
1,,1.0000*,2,,1.0000,111.6,1000.0,11.2
1,,1.0000,39,,1.0000*,160.1,1000.0,16.0
2,,1.0000*,3,,1.0000,373.1,1000.0,37.3
2,,1.0000,25,,1.0000*,257.5,1000.0,25.8
3,,1.0000*,4,,1.0000,66.4,1000.0,6.6
3,,1.0000,18,,1.0000*,46.0,1000.0,4.6
4,,1.0000*,5,,1.0000,318.9,1000.0,31.9
4,,1.0000,14,,1.0000*,136.1,1000.0,13.6
5,,1.0000,6,,1.0000*,620.6,1000.0,62.1
5,,1.0000,8,,1.0000*,334.3,1000.0,33.4
6,,1.0000*,7,,1.0000,463.7,1000.0,46.4
6,,1.0000,11,,1.0000*,132.2,1000.0,13.2
7,,1.0000,8,,1.0000*,216.0,1000.0,21.6
8,,1.0000,9,,1.0000*,24.3,1000.0,2.4
9,,1.0000,39,,1.0000*,152.3,1000.0,15.2
10,,1.0000*,11,,1.0000,95.3,1000.0,9.5
10,,1.0000*,13,,1.0000,612.9,1000.0,61.3
13,,1.0000*,14,,1.0000,135.5,1000.0,13.6
14,,1.0000,15,,1.0000*,81.7,1000.0,8.2
15,,1.0000*,16,,1.0000,323.5,1000.0,32.4
16,,1.0000*,17,,1.0000,187.2,1000.0,18.7
16,,1.0000,19,,1.0000*,454.6,500.0,90.9
16,,1.0000,21,,1.0000*,336.1,500.0,67.2
16,,1.0000*,24,,1.0000,87.3,500.0,17.5
17,,1.0000*,18,,1.0000,175.2,500.0,35.0
17,,1.0000*,27,,1.0000,20.3,500.0,4.1
21,,1.0000,22,,1.0000*,611.6,500.0,122.3
22,,1.0000,23,,1.0000*,73.7,500.0,14.7
23,,1.0000*,24,,1.0000,354.6,500.0,70.9
25,,1.0000,26,,1.0000*,91.1,500.0,18.2
26,,1.0000,27,,1.0000*,282.8,500.0,56.6
26,,1.0000,28,,1.0000*,156.1,500.0,31.2
26,,1.0000,29,,1.0000*,207.2,500.0,41.4
28,,1.0000,29,,1.0000*,352.5,500.0,70.5
