from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3,PERCENT.1
1,,1.0000*,2,,1.0000,333.6,1000.0,33.4,1.0,33357.5
1,,1.0000,39,,1.0000*,352.1,1000.0,35.2,1.0,35208.9
2,,1.0000*,3,,1.0000,707.1,1000.0,70.7,1.0,70706.9
2,,1.0000,25,,1.0000*,156.5,1000.0,15.6,1.0,15645.3
3,,1.0000*,4,,1.0000,326.6,1000.0,32.7,1.0,32662.4
3,,1.0000,18,,1.0000*,55.9,1000.0,5.6,1.0,5586.9
4,,1.0000*,5,,1.0000,230.2,1000.0,23.0,1.0,23024.2
4,,1.0000,14,,1.0000*,38.4,1000.0,3.8,1.0,3835.5
5,,1.0000*,6,,1.0000,248.9,1000.0,24.9,1.0,24888.4
5,,1.0000,8,,1.0000*,197.5,1000.0,19.7,1.0,19747.6
6,,1.0000,7,,1.0000*,246.5,1000.0,24.6,1.0,24648.9
6,,1.0000,11,,1.0000*,216.8,1000.0,21.7,1.0,21675.9
7,,1.0000,8,,1.0000*,141.5,1000.0,14.1,1.0,14148.0
8,,1.0000*,9,,1.0000,581.4,1000.0,58.1,1.0,58137.1
9,,1.0000,39,,1.0000*,584.3,1000.0,58.4,1.0,58429.0
10,,1.0000*,11,,1.0000,151.4,1000.0,15.1,1.0,15141.6
10,,1.0000*,13,,1.0000,787.4,1000.0,78.7,1.0,78738.9
13,,1.0000,14,,1.0000*,177.8,1000.0,17.8,1.0,17782.8
14,,1.0000,15,,1.0000*,166.5,1000.0,16.6,1.0,16647.7
15,,1.0000,16,,1.0000*,474.9,1000.0,47.5,1.0,47494.9
16,,1.0000*,17,,1.0000,35.5,1000.0,3.5,1.0,3549.4
16,,1.0000,19,,1.0000*,455.6,500.0,91.1,1.0,45562.5
16,,1.0000,21,,1.0000*,333.6,500.0,66.7,1.0,33360.3
16,,1.0000*,24,,1.0000,96.1,500.0,19.2,1.0,9608.1
17,,1.0000,18,,1.0000*,105.6,500.0,21.1,1.0,10564.1
17,,1.0000,27,,1.0000*,83.1,500.0,16.6,1.0,8313.0
21,,1.0000,22,,1.0000*,613.8,500.0,122.8,1.0,61377.8
22,,1.0000,23,,1.0000*,74.4,500.0,14.9,1.0,7436.4
23,,1.0000*,24,,1.0000,354.1,500.0,70.8,1.0,35405.3
25,,1.0000*,26,,1.0000,174.5,500.0,34.9,1.0,17451.8
26,,1.0000*,27,,1.0000,364.7,500.0,72.9,1.0,36465.2
26,,1.0000,28,,1.0000*,152.4,500.0,30.5,1.0,15242.4
26,,1.0000,29,,1.0000*,203.7,500.0,40.7,1.0,20372.7
28,,1.0000,29,,1.0000*,351.4,500.0,70.3,1.0,35138.8
