from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3,PERCENT.1
1,,1.0000*,2,,1.0000,96.7,1000.0,9.7,1.0,9668.3
1,,1.0000,39,,1.0000*,149.3,1000.0,14.9,1.0,14931.6
2,,1.0000*,3,,1.0000,382.4,1000.0,38.2,1.0,38243.1
2,,1.0000,25,,1.0000*,247.5,1000.0,24.8,1.0,24754.2
3,,1.0000,4,,1.0000*,67.3,1000.0,6.7,1.0,6730.5
3,,1.0000,18,,1.0000*,34.3,1000.0,3.4,1.0,3425.7
4,,1.0000,5,,1.0000*,453.8,1000.0,45.4,1.0,45381.0
4,,1.0000,14,,1.0000*,29.8,1000.0,3.0,1.0,2976.4
5,,1.0000,6,,1.0000*,760.3,1000.0,76.0,1.0,76031.2
5,,1.0000,8,,1.0000*,325.6,1000.0,32.6,1.0,32562.0
6,,1.0000*,7,,1.0000,481.2,1000.0,48.1,1.0,48123.9
6,,1.0000,11,,1.0000*,346.6,1000.0,34.7,1.0,34660.8
7,,1.0000,8,,1.0000*,234.7,1000.0,23.5,1.0,23465.7
8,,1.0000*,9,,1.0000,46.5,1000.0,4.6,1.0,4649.2
9,,1.0000,39,,1.0000*,127.8,1000.0,12.8,1.0,12778.0
10,,1.0000*,11,,1.0000,276.8,1000.0,27.7,1.0,27682.6
10,,1.0000*,13,,1.0000,925.6,1000.0,92.6,1.0,92561.5
13,,1.0000*,14,,1.0000,37.9,1000.0,3.8,1.0,3790.3
14,,1.0000,15,,1.0000*,61.6,1000.0,6.2,1.0,6155.5
15,,1.0000*,16,,1.0000,354.8,1000.0,35.5,1.0,35484.7
16,,1.0000*,17,,1.0000,160.8,1000.0,16.1,1.0,16084.0
16,,1.0000,19,,1.0000*,455.1,500.0,91.0,1.0,45511.3
16,,1.0000,21,,1.0000*,334.4,500.0,66.9,1.0,33444.4
16,,1.0000*,24,,1.0000,92.9,500.0,18.6,1.0,9286.2
17,,1.0000*,18,,1.0000,154.7,500.0,30.9,1.0,15471.4
17,,1.0000*,27,,1.0000,24.6,500.0,4.9,1.0,2464.2
21,,1.0000,22,,1.0000*,612.9,700.0,87.6,1.0,61294.3
22,,1.0000,23,,1.0000*,74.1,500.0,14.8,1.0,7412.7
23,,1.0000*,24,,1.0000,354.2,500.0,70.8,1.0,35421.0
25,,1.0000,26,,1.0000*,97.8,500.0,19.6,1.0,9785.0
26,,1.0000,27,,1.0000*,290.7,500.0,58.1,1.0,29069.9
26,,1.0000,28,,1.0000*,154.9,500.0,31.0,1.0,15494.5
26,,1.0000,29,,1.0000*,206.1,500.0,41.2,1.0,20611.9
28,,1.0000,29,,1.0000*,352.2,500.0,70.4,1.0,35215.1
