NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,188.2774658203125,30-1 
31,1 ,750.0,0.0,652.0045166015625,800.0,-500.0,456.79364013671875,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,84.78968811035156,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,351.24932861328125,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,192.3759002685547,34-1 
34,2 ,400.0,0.0,1000.0,300.0,0.0,300.0,34-2 
35,1 ,750.0,0.0,650.0,800.0,-500.0,288.37847900390625,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,144.25570678710938,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,9.140698432922363,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,45.07425308227539,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,20.073383331298828,39-1 
