from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3 PERCENT
1,,1.0000*,2,,1.0000,72.2,1000.0,7.2,1.0  7221.8
1,,1.0000,39,,1.0000*,140.3,1000.0,14.0,1.0 14034.8
2,,1.0000,3,,1.0000*,145.6,1000.0,14.6,1.0 14556.0
2,,1.0000*,25,,1.0000,215.0,1000.0,21.5,1.0 21498.6
3,,1.0000,4,,1.0000*,424.3,1000.0,42.4,1.0 42427.7
3,,1.0000,18,,1.0000*,190.1,1000.0,19.0,1.0 19007.5
4,,1.0000,5,,1.0000*,699.5,1000.0,70.0,1.0 69954.1
4,,1.0000,14,,1.0000*,229.9,1000.0,23.0,1.0 22989.4
5,,1.0000,6,,1.0000*,1050.8,1000.0,105.1,1.0105076.0
5,,1.0000*,8,,1.0000,366.7,1000.0,36.7,1.0 36669.2
6,,1.0000*,7,,1.0000,571.7,1000.0,57.2,1.0 57171.7
6,,1.0000,11,,1.0000*,73.8,1000.0,7.4,1.0  7381.9
7,,1.0000*,8,,1.0000,324.9,1000.0,32.5,1.0 32488.7
8,,1.0000*,9,,1.0000,164.7,1000.0,16.5,1.0 16465.6
9,,1.0000,39,,1.0000*,182.0,1000.0,18.2,1.0 18204.1
10,,1.0000*,11,,1.0000,55.7,1000.0,5.6,1.0  5569.4
10,,1.0000*,13,,1.0000,604.5,1000.0,60.5,1.0 60454.5
13,,1.0000*,14,,1.0000,624.4,1000.0,62.4,1.0 62438.1
14,,1.0000*,15,,1.0000,392.9,1000.0,39.3,1.0 39294.5
15,,1.0000*,16,,1.0000,154.0,1000.0,15.4,1.0 15397.9
16,,1.0000*,17,,1.0000,564.2,1000.0,56.4,1.0 56419.4
16,,1.0000,19,,1.0000*,458.8,500.0,91.8,1.0 45879.7
16,,1.0000,21,,1.0000*,331.3,500.0,66.3,1.0 33133.1
16,,1.0000*,24,,1.0000,108.0,500.0,21.6,1.0 10802.9
17,,1.0000*,18,,1.0000,48.1,500.0,9.6,1.0  4807.9
17,,1.0000*,27,,1.0000,585.4,500.0,117.1,1.0 58536.3
21,,1.0000,22,,1.0000*,617.3,700.0,88.2,1.0 61733.2
22,,1.0000,23,,1.0000*,75.2,500.0,15.0,1.0  7523.9
23,,1.0000*,24,,1.0000,353.8,500.0,70.8,1.0 35384.4
25,,1.0000*,26,,1.0000,524.8,500.0,105.0,1.0 52477.5
26,,1.0000,27,,1.0000*,308.9,500.0,61.8,1.0 30888.7
26,,1.0000*,28,,1.0000,365.6,500.0,73.1,1.0 36558.2
26,,1.0000*,29,,1.0000,318.2,500.0,63.6,1.0 31820.5
28,,1.0000*,29,,1.0000,159.1,500.0,31.8,1.0 15911.5
