NUMBER,PU,Angle
1,1.051806092262268,-0.529556393623352
2,1.055782437324524,-0.5483242869377136
3,1.039595365524292,-0.5589085817337036
4,1.0305898189544678,-0.4747764766216278
5,1.042787790298462,-0.39249953627586365
6,1.044020414352417,-0.3673743009567261
7,1.031324863433838,-0.41458162665367126
8,1.0293183326721191,-0.4285737872123718
9,1.0404037237167358,-0.4817310571670532
10,1.0381726026535034,-0.3637191355228424
11,1.0390477180480957,-0.36569902300834656
12,1.0237129926681519,-0.3775382936000824
13,1.0340285301208496,-0.38767242431640625
14,1.029453992843628,-0.44686758518218994
15,1.019864559173584,-0.5276570320129395
16,1.0310845375061035,-0.5350294709205627
17,1.0283713340759277,-0.582396924495697
18,1.0313448905944824,-0.5808630585670471
19,1.0495786666870117,-0.4542585015296936
20,0.9907223582267761,-0.4789179563522339
21,1.0312752723693848,-0.4929846227169037
22,1.0495351552963257,-0.4152945876121521
23,1.0445197820663452,-0.4187566339969635
24,1.0366828441619873,-0.5329422354698181
25,1.0389354228973389,-0.5628514885902405
26,1.024764895439148,-0.7216554284095764
27,1.0189303159713745,-0.6786154508590698
28,1.0242996215820312,-0.8864251971244812
29,1.0276451110839844,-0.9086505770683289
30,1.0475000143051147,-0.506373405456543
31,0.9819999933242798,-0.02769487537443638
32,0.9830999970436096,-0.22700515389442444
33,0.9972000122070312,-0.36318543553352356
34,1.0123000144958496,-0.38832253217697144
35,1.049299955368042,-0.3286742568016052
36,1.0635000467300415,-0.28166720271110535
37,1.0277999639511108,-0.44277507066726685
38,1.0264999866485596,-0.7838059067726135
39,1.0299999713897705,-0.5172602534294128
