NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,127.37388610839844,30-1 
31,1 ,750.0,0.0,653.0154418945312,800.0,-500.0,435.5049743652344,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,65.6065673828125,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,351.75775146484375,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,192.62380981445312,34-1 
34,2 ,400.0,0.0,1000.0,300.0,0.0,300.0,34-2 
35,1 ,750.0,0.0,650.0,800.0,-500.0,288.91650390625,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,144.56065368652344,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,79.69601440429688,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,186.91184997558594,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,-5.341998100280762,39-1 
