from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3 PERCENT
1,,1.0000,2,,1.0000*,209.3,1000.0,20.9,1.0 20932.8
1,,1.0000,39,,1.0000*,215.1,1000.0,21.5,1.0 21509.4
2,,1.0000*,3,,1.0000,393.3,1000.0,39.3,1.0 39333.9
2,,1.0000,25,,1.0000*,351.7,1000.0,35.2,1.0 35173.9
3,,1.0000*,4,,1.0000,395.2,1000.0,39.5,1.0 39521.1
3,,1.0000,18,,1.0000*,372.4,1000.0,37.2,1.0 37239.5
4,,1.0000*,5,,1.0000,219.9,1000.0,22.0,1.0 21989.1
4,,1.0000,14,,1.0000*,238.4,1000.0,23.8,1.0 23842.3
5,,1.0000*,6,,1.0000,204.1,1000.0,20.4,1.0 20413.0
5,,1.0000,8,,1.0000*,313.3,1000.0,31.3,1.0 31334.1
6,,1.0000*,7,,1.0000,375.2,1000.0,37.5,1.0 37516.2
6,,1.0000,11,,1.0000*,271.8,1000.0,27.2,1.0 27179.4
7,,1.0000,8,,1.0000*,128.5,1000.0,12.9,1.0 12854.8
8,,1.0000*,9,,1.0000,112.3,1000.0,11.2,1.0 11229.5
9,,1.0000,39,,1.0000*,142.7,1000.0,14.3,1.0 14268.9
10,,1.0000*,11,,1.0000,442.0,1000.0,44.2,1.0 44201.2
10,,1.0000,13,,1.0000*,302.4,1000.0,30.2,1.0 30239.6
13,,1.0000,14,,1.0000*,308.1,1000.0,30.8,1.0 30810.7
14,,1.0000*,15,,1.0000,542.0,1000.0,54.2,1.0 54202.1
15,,1.0000,16,,1.0000*,847.2,1000.0,84.7,1.0 84724.2
16,,1.0000,17,,1.0000*,649.4,1000.0,64.9,1.0 64935.3
16,,1.0000,19,,1.0000*,502.7,500.0,100.5,1.0 50269.0
16,,1.0000*,21,,1.0000,988.3,500.0,197.7,1.0 98830.4
16,,1.0000,24,,1.0000*,393.4,500.0,78.7,1.0 39340.5
17,,1.0000*,18,,1.0000,516.5,500.0,103.3,1.0 51647.9
17,,1.0000*,27,,1.0000,154.8,500.0,31.0,1.0 15484.7
21,,1.0000,22,,1.0000*,1257.2,500.0,251.4,1.0125719.0
22,,1.0000*,23,,1.0000,414.6,500.0,82.9,1.0 41457.5
23,,1.0000*,24,,1.0000,714.4,500.0,142.9,1.0 71439.3
25,,1.0000,26,,1.0000*,81.8,500.0,16.4,1.0  8178.6
26,,1.0000,27,,1.0000*,233.5,500.0,46.7,1.0 23351.5
26,,1.0000,28,,1.0000*,147.1,500.0,29.4,1.0 14705.9
26,,1.0000,29,,1.0000*,198.4,500.0,39.7,1.0 19839.8
28,,1.0000,29,,1.0000*,350.0,500.0,70.0,1.0 35000.6
