from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3,PERCENT.1
1,,1.0000,2,,1.0000*,253.7,1000.0,25.4,1.0,25370.1
1,,1.0000*,39,,1.0000,239.5,1000.0,24.0,1.0,23952.7
2,,1.0000*,3,,1.0000,612.8,1000.0,61.3,1.0,61280.6
2,,1.0000,25,,1.0000*,706.7,1000.0,70.7,1.0,70672.0
3,,1.0000,4,,1.0000*,473.7,1000.0,47.4,1.0,47366.9
3,,1.0000,18,,1.0000*,209.8,1000.0,21.0,1.0,20983.5
4,,1.0000*,5,,1.0000,209.4,1000.0,20.9,1.0,20935.2
4,,1.0000,14,,1.0000*,102.9,1000.0,10.3,1.0,10285.1
5,,1.0000*,6,,1.0000,230.1,1000.0,23.0,1.0,23006.1
5,,1.0000,8,,1.0000*,292.8,1000.0,29.3,1.0,29284.2
6,,1.0000*,7,,1.0000,363.0,1000.0,36.3,1.0,36304.7
6,,1.0000,11,,1.0000*,280.3,1000.0,28.0,1.0,28030.5
7,,1.0000,8,,1.0000*,116.5,1000.0,11.7,1.0,11654.4
8,,1.0000*,9,,1.0000,141.8,1000.0,14.2,1.0,14180.1
9,,1.0000,39,,1.0000*,169.1,1000.0,16.9,1.0,16907.9
10,,1.0000*,11,,1.0000,363.1,1000.0,36.3,1.0,36309.4
10,,1.0000,13,,1.0000*,341.1,1000.0,34.1,1.0,34107.2
13,,1.0000,14,,1.0000*,220.7,1000.0,22.1,1.0,22065.7
14,,1.0000,15,,1.0000*,326.1,1000.0,32.6,1.0,32606.5
15,,1.0000,16,,1.0000*,640.6,1000.0,64.1,1.0,64061.3
16,,1.0000,17,,1.0000*,256.7,1000.0,25.7,1.0,25670.2
16,,1.0000,19,,1.0000*,477.9,500.0,95.6,1.0,47791.5
16,,1.0000*,21,,1.0000,332.2,500.0,66.4,1.0,33216.2
16,,1.0000*,24,,1.0000,141.6,500.0,28.3,1.0,14159.1
17,,1.0000*,18,,1.0000,351.4,500.0,70.3,1.0,35136.9
17,,1.0000*,27,,1.0000,564.1,500.0,112.8,1.0,56405.2
21,,1.0000,22,,1.0000*,631.2,500.0,126.2,1.0,63116.3
22,,1.0000,23,,1.0000*,77.7,500.0,15.5,1.0,7769.3
23,,1.0000*,24,,1.0000,356.3,500.0,71.3,1.0,35628.3
25,,1.0000*,26,,1.0000,453.8,500.0,90.8,1.0,45383.1
26,,1.0000,27,,1.0000*,793.3,500.0,158.7,1.0,79334.4
26,,1.0000*,28,,1.0000,628.3,500.0,125.7,1.0,62827.1
26,,1.0000,29,,1.0000*,679.5,500.0,135.9,1.0,67951.2
28,,1.0000,29,,1.0000*,842.9,500.0,168.6,1.0,84292.7
