from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3,PERCENT.1
1,,1.0000*,2,,1.0000,101.3,1000.0,10.1,1.0,10126.7
1,,1.0000,39,,1.0000*,149.5,1000.0,14.9,1.0,14949.1
2,,1.0000*,3,,1.0000,381.0,1000.0,38.1,1.0,38102.5
2,,1.0000,25,,1.0000*,248.2,1000.0,24.8,1.0,24820.4
3,,1.0000,4,,1.0000*,92.4,1000.0,9.2,1.0,9238.6
3,,1.0000,18,,1.0000*,27.7,1000.0,2.8,1.0,2774.6
4,,1.0000,5,,1.0000*,384.7,1000.0,38.5,1.0,38472.6
4,,1.0000,14,,1.0000*,77.9,1000.0,7.8,1.0,7788.7
5,,1.0000,6,,1.0000*,696.6,1000.0,69.7,1.0,69664.7
5,,1.0000,8,,1.0000*,324.8,1000.0,32.5,1.0,32480.9
6,,1.0000*,7,,1.0000,468.8,1000.0,46.9,1.0,46880.5
6,,1.0000*,11,,1.0000,448.2,1000.0,44.8,1.0,44823.6
7,,1.0000,8,,1.0000*,223.7,1000.0,22.4,1.0,22365.2
8,,1.0000*,9,,1.0000,65.6,1000.0,6.6,1.0,6562.0
9,,1.0000,39,,1.0000*,103.7,1000.0,10.4,1.0,10372.6
10,,1.0000,11,,1.0000*,111.3,1000.0,11.1,1.0,11134.4
10,,1.0000*,13,,1.0000,545.5,1000.0,54.5,1.0,54545.3
13,,1.0000*,14,,1.0000,96.6,1000.0,9.7,1.0,9661.7
14,,1.0000,15,,1.0000*,24.5,1000.0,2.5,1.0,2452.3
15,,1.0000*,16,,1.0000,354.0,1000.0,35.4,1.0,35396.9
16,,1.0000*,17,,1.0000,172.7,1000.0,17.3,1.0,17270.6
16,,1.0000,19,,1.0000*,456.3,500.0,91.3,1.0,45631.8
16,,1.0000,21,,1.0000*,332.8,500.0,66.6,1.0,33283.0
16,,1.0000*,24,,1.0000,99.4,500.0,19.9,1.0,9944.9
17,,1.0000*,18,,1.0000,162.8,500.0,32.6,1.0,16284.4
17,,1.0000*,27,,1.0000,32.1,500.0,6.4,1.0,3205.5
21,,1.0000,22,,1.0000*,614.7,700.0,87.8,1.0,61470.7
22,,1.0000,23,,1.0000*,74.6,500.0,14.9,1.0,7461.2
23,,1.0000*,24,,1.0000,353.9,500.0,70.8,1.0,35393.6
25,,1.0000,26,,1.0000*,95.2,500.0,19.0,1.0,9518.3
26,,1.0000,27,,1.0000*,288.9,500.0,57.8,1.0,28891.3
26,,1.0000,28,,1.0000*,153.8,500.0,30.8,1.0,15376.0
26,,1.0000,29,,1.0000*,205.0,500.0,41.0,1.0,20500.0
28,,1.0000,29,,1.0000*,351.8,500.0,70.4,1.0,35178.6
