from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT
1,,1.0000*,2,,1.0000,66.7,1000.0,6.7
1,,1.0000,39,,1.0000*,139.5,1000.0,14.0
2,,1.0000,3,,1.0000*,232.1,1000.0,23.2
2,,1.0000,25,,1.0000*,82.7,1000.0,8.3
3,,1.0000,4,,1.0000*,168.7,1000.0,16.9
3,,1.0000,18,,1.0000*,89.8,1000.0,9.0
4,,1.0000,5,,1.0000*,431.7,1000.0,43.2
4,,1.0000,14,,1.0000*,248.6,1000.0,24.9
5,,1.0000,6,,1.0000*,759.4,1000.0,75.9
5,,1.0000,8,,1.0000*,353.8,1000.0,35.4
6,,1.0000*,7,,1.0000,506.1,1000.0,50.6
6,,1.0000,11,,1.0000*,229.1,1000.0,22.9
7,,1.0000,8,,1.0000*,258.2,1000.0,25.8
8,,1.0000*,9,,1.0000,71.5,1000.0,7.2
9,,1.0000,39,,1.0000*,159.5,1000.0,15.9
10,,1.0000*,11,,1.0000,220.9,1000.0,22.1
10,,1.0000*,13,,1.0000,447.7,1000.0,44.8
13,,1.0000*,14,,1.0000,454.1,1000.0,45.4
14,,1.0000,15,,1.0000*,216.0,1000.0,21.6
15,,1.0000*,16,,1.0000,144.9,1000.0,14.5
16,,1.0000*,17,,1.0000,384.5,1000.0,38.4
16,,1.0000,19,,1.0000*,454.8,500.0,91.0
16,,1.0000,21,,1.0000*,335.1,500.0,67.0
16,,1.0000*,24,,1.0000,90.4,500.0,18.1
17,,1.0000*,18,,1.0000,93.5,500.0,18.7
17,,1.0000*,27,,1.0000,294.5,500.0,58.9
21,,1.0000,22,,1.0000*,612.3,500.0,122.5
22,,1.0000,23,,1.0000*,73.9,500.0,14.8
23,,1.0000*,24,,1.0000,354.4,500.0,70.9
25,,1.0000*,26,,1.0000,299.4,500.0,59.9
26,,1.0000,27,,1.0000*,67.4,500.0,13.5
26,,1.0000,28,,1.0000*,151.4,500.0,30.3
26,,1.0000,29,,1.0000*,202.8,500.0,40.6
28,,1.0000,29,,1.0000*,351.1,500.0,70.2
