NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,75.01918029785156,30-1 
31,1 ,750.0,0.0,1072.1485595703125,800.0,-500.0,485.1671142578125,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,28.542163848876953,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,79.63191986083984,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,153.40745544433594,34-1 
35,1 ,750.0,0.0,650.0,800.0,-500.0,178.22503662109375,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,81.78810119628906,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,5.433645248413086,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,27.313657760620117,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,-29.165912628173828,39-1 
