from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3 PERCENT
1,,1.0000*,2,,1.0000,71.4,1000.0,7.1,1.0  7144.7
1,,1.0000,39,,1.0000*,140.0,1000.0,14.0,1.0 14001.6
2,,1.0000,3,,1.0000*,145.7,1000.0,14.6,1.0 14574.1
2,,1.0000*,25,,1.0000,211.9,1000.0,21.2,1.0 21194.3
3,,1.0000,4,,1.0000*,420.8,1000.0,42.1,1.0 42077.3
3,,1.0000,18,,1.0000*,188.7,1000.0,18.9,1.0 18870.0
4,,1.0000,5,,1.0000*,695.9,1000.0,69.6,1.0 69586.2
4,,1.0000,14,,1.0000*,230.1,1000.0,23.0,1.0 23014.9
5,,1.0000,6,,1.0000*,1046.8,1000.0,104.7,1.0104676.2
5,,1.0000*,8,,1.0000,366.5,1000.0,36.7,1.0 36650.1
6,,1.0000*,7,,1.0000,570.8,1000.0,57.1,1.0 57080.4
6,,1.0000,11,,1.0000*,75.4,1000.0,7.5,1.0  7539.3
7,,1.0000*,8,,1.0000,323.9,1000.0,32.4,1.0 32394.5
8,,1.0000*,9,,1.0000,163.3,1000.0,16.3,1.0 16331.3
9,,1.0000,39,,1.0000*,181.5,1000.0,18.1,1.0 18147.7
10,,1.0000*,11,,1.0000,58.1,1000.0,5.8,1.0  5806.0
10,,1.0000*,13,,1.0000,602.4,1000.0,60.2,1.0 60237.4
13,,1.0000*,14,,1.0000,622.0,1000.0,62.2,1.0 62203.2
14,,1.0000*,15,,1.0000,390.4,1000.0,39.0,1.0 39041.2
15,,1.0000*,16,,1.0000,152.1,1000.0,15.2,1.0 15209.6
16,,1.0000*,17,,1.0000,561.7,1000.0,56.2,1.0 56170.4
16,,1.0000,19,,1.0000*,458.7,500.0,91.7,1.0 45870.1
16,,1.0000,21,,1.0000*,331.4,500.0,66.3,1.0 33137.0
16,,1.0000*,24,,1.0000,107.7,500.0,21.5,1.0 10774.9
17,,1.0000*,18,,1.0000,47.5,500.0,9.5,1.0  4746.8
17,,1.0000*,27,,1.0000,581.4,500.0,116.3,1.0 58142.2
21,,1.0000,22,,1.0000*,617.2,700.0,88.2,1.0 61724.1
22,,1.0000,23,,1.0000*,75.2,500.0,15.0,1.0  7521.9
23,,1.0000*,24,,1.0000,353.8,500.0,70.8,1.0 35384.3
25,,1.0000*,26,,1.0000,521.7,500.0,104.3,1.0 52171.0
26,,1.0000,27,,1.0000*,305.0,500.0,61.0,1.0 30498.5
26,,1.0000*,28,,1.0000,148.9,500.0,29.8,1.0 14893.9
26,,1.0000*,29,,1.0000,196.6,500.0,39.3,1.0 19660.7
28,,1.0000,29,,1.0000*,349.6,500.0,69.9,1.0 34955.3
