from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT
1,,1.0000*,2,,1.0000,68.3,1000.0,6.8
1,,1.0000,39,,1.0000*,145.7,1000.0,14.6
2,,1.0000,3,,1.0000*,113.5,1000.0,11.3
2,,1.0000,25,,1.0000*,137.6,1000.0,13.8
3,,1.0000,4,,1.0000*,190.4,1000.0,19.0
3,,1.0000,18,,1.0000*,75.5,1000.0,7.5
4,,1.0000,5,,1.0000*,424.1,1000.0,42.4
4,,1.0000,14,,1.0000*,275.0,1000.0,27.5
5,,1.0000,6,,1.0000*,762.7,1000.0,76.3
5,,1.0000,8,,1.0000*,363.2,1000.0,36.3
6,,1.0000*,7,,1.0000,514.2,1000.0,51.4
6,,1.0000,11,,1.0000*,242.5,1000.0,24.3
7,,1.0000,8,,1.0000*,266.2,1000.0,26.6
8,,1.0000*,9,,1.0000,87.8,1000.0,8.8
9,,1.0000,39,,1.0000*,167.8,1000.0,16.8
10,,1.0000*,11,,1.0000,234.4,1000.0,23.4
10,,1.0000*,13,,1.0000,433.2,1000.0,43.3
13,,1.0000*,14,,1.0000,438.6,1000.0,43.9
14,,1.0000,15,,1.0000*,177.5,1000.0,17.8
15,,1.0000*,16,,1.0000,178.0,1000.0,17.8
16,,1.0000*,17,,1.0000,346.6,1000.0,34.7
16,,1.0000,19,,1.0000*,454.6,500.0,90.9
16,,1.0000,21,,1.0000*,336.3,500.0,67.3
16,,1.0000*,24,,1.0000,86.7,500.0,17.3
17,,1.0000*,18,,1.0000,204.8,500.0,41.0
17,,1.0000*,27,,1.0000,140.2,500.0,28.0
21,,1.0000,22,,1.0000*,611.5,500.0,122.3
22,,1.0000,23,,1.0000*,73.7,500.0,14.7
23,,1.0000*,24,,1.0000,354.6,500.0,70.9
25,,1.0000*,26,,1.0000,59.0,500.0,11.8
26,,1.0000,27,,1.0000*,156.3,500.0,31.3
26,,1.0000,28,,1.0000*,155.1,500.0,31.0
26,,1.0000,29,,1.0000*,206.3,500.0,41.3
28,,1.0000,29,,1.0000*,352.2,500.0,70.4
