from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3,PERCENT.1
1,,1.0000,2,,1.0000*,158.2,1000.0,15.8,1.0,15823.9
1,,1.0000,39,,1.0000*,148.4,1000.0,14.8,1.0,14838.2
2,,1.0000*,3,,1.0000,612.0,1000.0,61.2,1.0,61197.1
2,,1.0000,25,,1.0000*,607.5,1000.0,60.7,1.0,60749.5
3,,1.0000*,4,,1.0000,120.6,1000.0,12.1,1.0,12064.2
3,,1.0000,18,,1.0000*,256.7,1000.0,25.7,1.0,25666.2
4,,1.0000*,5,,1.0000,302.9,1000.0,30.3,1.0,30286.6
4,,1.0000,14,,1.0000*,203.2,1000.0,20.3,1.0,20316.3
5,,1.0000,6,,1.0000*,549.1,1000.0,54.9,1.0,54908.1
5,,1.0000,8,,1.0000*,318.1,1000.0,31.8,1.0,31810.5
6,,1.0000*,7,,1.0000,442.0,1000.0,44.2,1.0,44202.7
6,,1.0000,11,,1.0000*,315.1,1000.0,31.5,1.0,31512.8
7,,1.0000,8,,1.0000*,194.3,1000.0,19.4,1.0,19431.2
8,,1.0000*,9,,1.0000,44.5,1000.0,4.5,1.0,4452.3
9,,1.0000,39,,1.0000*,140.9,1000.0,14.1,1.0,14091.2
10,,1.0000*,11,,1.0000,301.2,1000.0,30.1,1.0,30122.9
10,,1.0000,13,,1.0000*,377.7,1000.0,37.8,1.0,37774.5
13,,1.0000*,14,,1.0000,370.8,1000.0,37.1,1.0,37078.7
14,,1.0000,15,,1.0000*,201.0,1000.0,20.1,1.0,20095.9
15,,1.0000*,16,,1.0000,160.9,1000.0,16.1,1.0,16087.6
16,,1.0000*,17,,1.0000,408.5,1000.0,40.8,1.0,40846.2
16,,1.0000,19,,1.0000*,473.1,500.0,94.6,1.0,47308.1
16,,1.0000*,21,,1.0000,331.0,500.0,66.2,1.0,33101.0
16,,1.0000*,24,,1.0000,135.1,500.0,27.0,1.0,13510.1
17,,1.0000*,18,,1.0000,120.8,500.0,24.2,1.0,12081.9
17,,1.0000*,27,,1.0000,678.8,500.0,135.8,1.0,67875.9
21,,1.0000,22,,1.0000*,628.0,500.0,125.6,1.0,62804.4
22,,1.0000,23,,1.0000*,77.2,500.0,15.4,1.0,7721.6
23,,1.0000*,24,,1.0000,355.5,500.0,71.1,1.0,35546.7
25,,1.0000,26,,1.0000*,380.7,500.0,76.1,1.0,38074.4
26,,1.0000,27,,1.0000*,903.6,500.0,180.7,1.0,90357.2
26,,1.0000*,28,,1.0000,627.6,500.0,125.5,1.0,62761.9
26,,1.0000,29,,1.0000*,679.7,500.0,135.9,1.0,67969.2
28,,1.0000,29,,1.0000*,843.3,500.0,168.7,1.0,84334.0
