from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT
1,,1.0000*,2,,1.0000,141.6,1000.0,14.2
1,,1.0000,39,,1.0000*,177.0,1000.0,17.7
2,,1.0000*,3,,1.0000,370.1,1000.0,37.0
2,,1.0000,25,,1.0000*,289.3,1000.0,28.9
3,,1.0000*,4,,1.0000,173.1,1000.0,17.3
3,,1.0000,18,,1.0000*,148.4,1000.0,14.8
4,,1.0000*,5,,1.0000,182.0,1000.0,18.2
4,,1.0000,14,,1.0000*,216.6,1000.0,21.7
5,,1.0000,6,,1.0000*,434.9,1000.0,43.5
5,,1.0000,8,,1.0000*,332.9,1000.0,33.3
6,,1.0000*,7,,1.0000,430.8,1000.0,43.1
6,,1.0000,11,,1.0000*,173.3,1000.0,17.3
7,,1.0000,8,,1.0000*,183.2,1000.0,18.3
8,,1.0000,9,,1.0000*,41.5,1000.0,4.2
9,,1.0000,39,,1.0000*,157.4,1000.0,15.7
10,,1.0000*,11,,1.0000,135.7,1000.0,13.6
10,,1.0000,13,,1.0000*,95.8,1000.0,9.6
13,,1.0000,14,,1.0000*,80.4,1000.0,8.0
14,,1.0000,15,,1.0000*,198.8,1000.0,19.9
15,,1.0000,16,,1.0000*,468.5,1000.0,46.9
16,,1.0000*,17,,1.0000,339.1,1000.0,33.9
16,,1.0000,19,,1.0000*,459.5,500.0,91.9
16,,1.0000*,21,,1.0000,540.4,500.0,108.1
16,,1.0000*,24,,1.0000,152.2,500.0,30.4
17,,1.0000*,18,,1.0000,288.3,500.0,57.7
17,,1.0000*,27,,1.0000,59.6,500.0,11.9
21,,1.0000,22,,1.0000*,799.4,500.0,159.9
22,,1.0000*,23,,1.0000,163.9,500.0,32.8
23,,1.0000*,24,,1.0000,463.2,500.0,92.6
25,,1.0000,26,,1.0000*,70.0,500.0,14.0
26,,1.0000,27,,1.0000*,258.7,500.0,51.7
26,,1.0000,28,,1.0000*,153.6,500.0,30.7
26,,1.0000,29,,1.0000*,204.9,500.0,41.0
28,,1.0000,29,,1.0000*,351.7,500.0,70.3
