NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,97.73394012451172,30-1 
31,1 ,750.0,0.0,1571.2276611328125,800.0,-500.0,681.539306640625,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,80.97384643554688,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,80.67169189453125,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,153.8892364501953,34-1 
35,1 ,850.0,0.0,650.0,800.0,-500.0,179.3916778564453,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,82.4496841430664,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,-24.812599182128906,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,6.1971821784973145,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,-3.6814563274383545,39-1 
