from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3,PERCENT.1
1,,1.0000*,2,,1.0000,103.8,1000.0,10.4,1.0,10380.3
1,,1.0000,39,,1.0000*,154.0,1000.0,15.4,1.0,15395.0
2,,1.0000*,3,,1.0000,377.8,1000.0,37.8,1.0,37776.2
2,,1.0000,25,,1.0000*,251.9,1000.0,25.2,1.0,25187.3
3,,1.0000,4,,1.0000*,67.2,1000.0,6.7,1.0,6719.5
3,,1.0000,18,,1.0000*,36.6,1000.0,3.7,1.0,3663.8
4,,1.0000,5,,1.0000*,382.7,1000.0,38.3,1.0,38267.9
4,,1.0000,14,,1.0000*,68.5,1000.0,6.9,1.0,6852.8
5,,1.0000,6,,1.0000*,691.9,1000.0,69.2,1.0,69192.8
5,,1.0000,8,,1.0000*,329.1,1000.0,32.9,1.0,32908.1
6,,1.0000*,7,,1.0000,471.1,1000.0,47.1,1.0,47112.6
6,,1.0000*,11,,1.0000,419.7,1000.0,42.0,1.0,41974.7
7,,1.0000,8,,1.0000*,224.4,1000.0,22.4,1.0,22443.3
8,,1.0000*,9,,1.0000,39.6,1000.0,4.0,1.0,3958.3
9,,1.0000,39,,1.0000*,131.8,1000.0,13.2,1.0,13181.1
10,,1.0000,11,,1.0000*,389.2,1000.0,38.9,1.0,38924.8
10,,1.0000,13,,1.0000*,45.2,1000.0,4.5,1.0,4515.4
13,,1.0000*,14,,1.0000,57.5,1000.0,5.8,1.0,5752.0
14,,1.0000,15,,1.0000*,66.6,1000.0,6.7,1.0,6662.6
15,,1.0000*,16,,1.0000,340.0,1000.0,34.0,1.0,33996.9
16,,1.0000*,17,,1.0000,173.5,1000.0,17.4,1.0,17351.8
16,,1.0000,19,,1.0000*,454.9,500.0,91.0,1.0,45488.5
16,,1.0000,21,,1.0000*,335.0,500.0,67.0,1.0,33497.4
16,,1.0000*,24,,1.0000,91.0,500.0,18.2,1.0,9100.7
17,,1.0000*,18,,1.0000,164.6,500.0,32.9,1.0,16455.4
17,,1.0000*,27,,1.0000,23.3,500.0,4.7,1.0,2326.1
21,,1.0000,22,,1.0000*,612.5,700.0,87.5,1.0,61248.6
22,,1.0000,23,,1.0000*,74.0,500.0,14.8,1.0,7399.0
23,,1.0000*,24,,1.0000,354.3,500.0,70.9,1.0,35431.9
25,,1.0000,26,,1.0000*,94.5,500.0,18.9,1.0,9446.5
26,,1.0000,27,,1.0000*,286.9,500.0,57.4,1.0,28694.6
26,,1.0000,28,,1.0000*,155.3,500.0,31.1,1.0,15531.8
26,,1.0000,29,,1.0000*,206.5,500.0,41.3,1.0,20647.0
28,,1.0000,29,,1.0000*,352.3,500.0,70.5,1.0,35226.8
