from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT
1,,1.0000*,2,,1.0000,115.1,1000.0,11.5
1,,1.0000,39,,1.0000*,162.4,1000.0,16.2
2,,1.0000*,3,,1.0000,371.0,1000.0,37.1
2,,1.0000,25,,1.0000*,259.5,1000.0,26.0
3,,1.0000*,4,,1.0000,69.9,1000.0,7.0
3,,1.0000,18,,1.0000*,48.6,1000.0,4.9
4,,1.0000*,5,,1.0000,285.8,1000.0,28.6
4,,1.0000,14,,1.0000*,167.3,1000.0,16.7
5,,1.0000,6,,1.0000*,586.4,1000.0,58.6
5,,1.0000,8,,1.0000*,336.0,1000.0,33.6
6,,1.0000*,7,,1.0000,458.7,1000.0,45.9
6,,1.0000,11,,1.0000*,132.4,1000.0,13.2
7,,1.0000,8,,1.0000*,211.1,1000.0,21.1
8,,1.0000,9,,1.0000*,26.1,1000.0,2.6
9,,1.0000,39,,1.0000*,154.2,1000.0,15.4
10,,1.0000*,11,,1.0000,87.7,1000.0,8.8
10,,1.0000,13,,1.0000*,171.7,1000.0,17.2
13,,1.0000*,14,,1.0000,174.4,1000.0,17.4
14,,1.0000,15,,1.0000*,85.6,1000.0,8.6
15,,1.0000*,16,,1.0000,316.5,1000.0,31.6
16,,1.0000*,17,,1.0000,193.4,1000.0,19.3
16,,1.0000,19,,1.0000*,454.5,500.0,90.9
16,,1.0000,21,,1.0000*,336.4,500.0,67.3
16,,1.0000*,24,,1.0000,86.6,500.0,17.3
17,,1.0000*,18,,1.0000,180.1,500.0,36.0
17,,1.0000*,27,,1.0000,20.4,500.0,4.1
21,,1.0000,22,,1.0000*,611.5,500.0,122.3
22,,1.0000,23,,1.0000*,73.7,500.0,14.7
23,,1.0000*,24,,1.0000,354.6,500.0,70.9
25,,1.0000,26,,1.0000*,89.4,500.0,17.9
26,,1.0000,27,,1.0000*,281.0,500.0,56.2
26,,1.0000,28,,1.0000*,156.3,500.0,31.3
26,,1.0000,29,,1.0000*,207.4,500.0,41.5
28,,1.0000,29,,1.0000*,352.6,500.0,70.5
