Begin Report RATE_3
PSS(R)E Xplore-36.1.0 LIMIT CHECKING REPORT - BRANCH FLOWS          SAT, APR 26 2025  22:09
NEW ENGLAND TEST SYSTEM, 39 BUSES, 9 GENERATORS
CREATED BY PABLO LEDESMA PABLOLE@ING.UC3M.ES

SUBSYSTEM LOADING CHECK (INCLUDED: LINES; BREAKERS AND SWITCHES; TRANSFORMERS) (EXCLUDED: NONE)
MVA LOADINGS ABOVE 100.0 % OF BRANCH RATING:
LOADINGS ABOVE 100.0 % OF SWITCHING DEVICE RATING

X----------- FROM BUS ------------X X------------ TO BUS -------------X               RATING SET 1    RATING SET 3
  BUS#-SCT X-- NAME --X BASKV  AREA   BUS#-SCT X-- NAME --X BASKV  AREA CKT LOADING   RATE1 PERCENT   RATE3 PERCENT
     1     1           1.0000     1      2     2           1.0000*    1  1    290.0  1000.0    29.0     1.0 28998.0
     1     1           1.0000     1     39     39          1.0000*    1  1    294.1  1000.0    29.4     1.0 29412.2
     2     2           1.0000*    1      3     3           1.0000     1  1    337.2  1000.0    33.7     1.0 33723.3
     2     2           1.0000     1     25     25          1.0000*    1  1    424.2  1000.0    42.4     1.0 42415.6
     3     3           1.0000*    1      4     4           1.0000     1  1    127.5  1000.0    12.7     1.0 12748.7
     3     3           1.0000     1     18     18          1.0000*    1  1    123.1  1000.0    12.3     1.0 12314.1
     4     4           1.0000*    1      5     5           1.0000     1  1    147.1  1000.0    14.7     1.0 14713.9
     4     4           1.0000     1     14     14          1.0000*    1  1    286.7  1000.0    28.7     1.0 28665.9
     5     5           1.0000     1      6     6           1.0000*    1  1    587.8  1000.0    58.8     1.0 58776.7
     5     5           1.0000*    1      8     8           1.0000     1  1    510.3  1000.0    51.0     1.0 51034.7
     6     6           1.0000*    1      7     7           1.0000     1  1    604.9  1000.0    60.5     1.0 60493.5
     6     6           1.0000     1     11     11          1.0000*    1  1    408.3  1000.0    40.8     1.0 40833.4
     7     7           1.0000*    1      8     8           1.0000     1  1    354.6  1000.0    35.5     1.0 35462.1
     8     8           1.0000*    1      9     9           1.0000     1  1    322.1  1000.0    32.2     1.0 32207.8
     9     9           1.0000     1     39     39          1.0000*    1  1    213.9  1000.0    21.4     1.0 21385.9
    10     10          1.0000*    1     11     11          1.0000     1  1    392.9  1000.0    39.3     1.0 39289.0
    10     10          1.0000     1     13     13          1.0000*    1  1    271.1  1000.0    27.1     1.0 27111.7
    13     13          1.0000     1     14     14          1.0000*    1  1    257.9  1000.0    25.8     1.0 25785.9
    14     14          1.0000     1     15     15          1.0000*    1  1     95.0  1000.0     9.5     1.0  9500.6
    15     15          1.0000*    1     16     16          1.0000     1  1    353.3  1000.0    35.3     1.0 35330.0
    16     16          1.0000*    1     17     17          1.0000     1  1    145.7  1000.0    14.6     1.0 14574.1
    16     16          1.0000     1     19     19          1.0000*    1  1    455.5   500.0    91.1     1.0 45548.6
    16     16          1.0000     1     21     21          1.0000*    1  1    333.8   500.0    66.8     1.0 33379.9
    16     16          1.0000*    1     24     24          1.0000     1  1     95.3   500.0    19.1     1.0  9529.6
    17     17          1.0000*    1     18     18          1.0000     1  1    270.1   500.0    54.0     1.0 27007.8
    17     17          1.0000     1     27     27          1.0000*    1  1    142.4   500.0    28.5     1.0 14240.4
    21     21          1.0000     1     22     22          1.0000*    1  1    613.6   500.0   122.7     1.0 61356.9
    22     22          1.0000     1     23     23          1.0000*    1  1     74.3   500.0    14.9     1.0  7430.6
    23     23          1.0000*    1     24     24          1.0000     1  1    354.1   500.0    70.8     1.0 35408.7
    25     25          1.0000     1     26     26          1.0000*    1  1    128.6   500.0    25.7     1.0 12861.6
    26     26          1.0000*    1     27     27          1.0000     1  1    405.7   500.0    81.1     1.0 40566.9
    26     26          1.0000     1     28     28          1.0000*    1  1    300.6   500.0    60.1     1.0 30064.0
    26     26          1.0000     1     29     29          1.0000*    1  1    349.6   500.0    69.9     1.0 34956.8
    28     28          1.0000     1     29     29          1.0000*    1  1    499.2   500.0    99.8     1.0 49918.6
