from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3 PERCENT
1,,1.0000,2,,1.0000*,385.7,1000.0,38.6,1.0 38568.9
1,,1.0000,39,,1.0000*,382.4,1000.0,38.2,1.0 38244.0
2,,1.0000,3,,1.0000*,163.8,1000.0,16.4,1.0 16379.2
2,,1.0000,25,,1.0000*,310.5,1000.0,31.0,1.0 31049.7
3,,1.0000,4,,1.0000*,133.7,1000.0,13.4,1.0 13365.6
3,,1.0000,18,,1.0000*,71.8,1000.0,7.2,1.0  7177.3
4,,1.0000,5,,1.0000*,317.6,1000.0,31.8,1.0 31761.4
4,,1.0000,14,,1.0000*,289.7,1000.0,29.0,1.0 28966.9
5,,1.0000,6,,1.0000*,1003.9,1000.0,100.4,1.0100388.4
5,,1.0000*,8,,1.0000,709.2,1000.0,70.9,1.0 70916.3
6,,1.0000*,7,,1.0000,841.8,1000.0,84.2,1.0 84179.4
6,,1.0000,11,,1.0000*,233.0,1000.0,23.3,1.0 23297.6
7,,1.0000*,8,,1.0000,584.1,1000.0,58.4,1.0 58414.7
8,,1.0000*,9,,1.0000,738.5,1000.0,73.8,1.0 73848.8
9,,1.0000*,39,,1.0000,304.1,1000.0,30.4,1.0 30411.6
10,,1.0000,11,,1.0000*,244.9,1000.0,24.5,1.0 24486.2
10,,1.0000*,13,,1.0000,406.7,1000.0,40.7,1.0 40671.3
13,,1.0000*,14,,1.0000,410.1,1000.0,41.0,1.0 41012.2
14,,1.0000,15,,1.0000*,120.6,1000.0,12.1,1.0 12062.0
15,,1.0000*,16,,1.0000,239.7,1000.0,24.0,1.0 23970.9
16,,1.0000*,17,,1.0000,297.0,1000.0,29.7,1.0 29701.7
16,,1.0000,19,,1.0000*,456.0,500.0,91.2,1.0 45605.0
16,,1.0000,21,,1.0000*,333.1,500.0,66.6,1.0 33309.6
16,,1.0000*,24,,1.0000,98.2,500.0,19.6,1.0  9823.5
17,,1.0000*,18,,1.0000,225.4,500.0,45.1,1.0 22537.2
17,,1.0000*,27,,1.0000,77.3,500.0,15.5,1.0  7734.9
21,,1.0000,22,,1.0000*,614.4,700.0,87.8,1.0 61436.5
22,,1.0000,23,,1.0000*,74.5,500.0,14.9,1.0  7452.3
23,,1.0000*,24,,1.0000,354.0,500.0,70.8,1.0 35397.3
25,,1.0000,26,,1.0000*,46.6,500.0,9.3,1.0  4664.4
26,,1.0000,27,,1.0000*,229.5,500.0,45.9,1.0 22953.8
26,,1.0000,28,,1.0000*,154.1,500.0,30.8,1.0 15409.2
26,,1.0000,29,,1.0000*,205.3,500.0,41.1,1.0 20531.4
28,,1.0000,29,,1.0000*,351.9,500.0,70.4,1.0 35188.7
