NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,137.49781799316406,30-1 
31,1 ,750.0,0.0,1600.0369873046875,800.0,-500.0,807.142822265625,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,132.03245544433594,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,93.91941833496094,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,160.0276641845703,34-1 
35,1 ,850.0,0.0,650.0,800.0,-500.0,194.25732421875,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,90.87971496582031,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,-14.064436912536621,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,12.531410217285156,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,226.6256866455078,39-1 
