NUMBER,PU,Angle
1,1.018512487411499,-0.26335716247558594
2,1.0126172304153442,-0.05627882853150368
3,1.006064534187317,-0.1132194995880127
4,1.0178844928741455,-0.17850492894649506
5,1.0357455015182495,-0.19503596425056458
6,1.0389741659164429,-0.18231037259101868
7,1.020147442817688,-0.24320337176322937
8,1.0154786109924316,-0.2641046941280365
9,1.0157253742218018,-0.47982147336006165
10,1.0330694913864136,-0.12181132286787033
11,1.0334943532943726,-0.14225617051124573
12,1.0179952383041382,-0.13573244214057922
13,1.0283581018447876,-0.12739397585391998
14,1.0201139450073242,-0.13887104392051697
15,1.0026625394821167,-0.09597485512495041
16,1.0115643739700317,-0.04857540503144264
17,0.9938434958457947,-0.04508504644036293
18,0.9965507388114929,-0.07927999645471573
19,1.042399525642395,0.033300381153821945
20,0.9868044853210449,0.008215096779167652
21,1.0175304412841797,-0.005505688954144716
22,1.0421744585037231,0.07343059778213501
23,1.0369012355804443,0.06992626190185547
24,1.0188905000686646,-0.04649573937058449
25,1.030245065689087,0.02160763181746006
26,0.9401625394821167,0.158691868185997
27,0.952407717704773,0.037845540791749954
28,0.9095637202262878,0.5095441937446594
29,0.9291626811027527,0.6579306721687317
30,1.0475000143051147,-0.012538544833660126
31,0.9819999933242798,-0.02769487537443638
32,0.9830999970436096,0.015582486987113953
33,0.9972000122070312,0.12466166168451309
34,1.0123000144958496,0.09897195547819138
35,1.049299955368042,0.16066426038742065
36,1.0635000467300415,0.20789209008216858
37,1.0277999639511108,0.14248137176036835
38,1.0,0.9709908962249756
39,1.0299999713897705,-0.3846912682056427
