from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3 PERCENT
1,,1.0000,2,,1.0000*,485.1,1000.0,48.5,1.0 48513.2
1,,1.0000*,39,,1.0000,478.3,1000.0,47.8,1.0 47829.2
2,,1.0000,3,,1.0000*,194.5,1000.0,19.5,1.0 19452.5
2,,1.0000,25,,1.0000*,412.3,1000.0,41.2,1.0 41229.8
3,,1.0000*,4,,1.0000,230.0,1000.0,23.0,1.0 22996.7
3,,1.0000,18,,1.0000*,425.8,1000.0,42.6,1.0 42580.4
4,,1.0000*,5,,1.0000,223.1,1000.0,22.3,1.0 22305.6
4,,1.0000,14,,1.0000*,443.3,1000.0,44.3,1.0 44327.7
5,,1.0000,6,,1.0000*,519.6,1000.0,52.0,1.0 51955.2
5,,1.0000*,8,,1.0000,696.9,1000.0,69.7,1.0 69688.0
6,,1.0000*,7,,1.0000,747.6,1000.0,74.8,1.0 74764.6
6,,1.0000*,11,,1.0000,611.9,1000.0,61.2,1.0 61186.7
7,,1.0000*,8,,1.0000,491.8,1000.0,49.2,1.0 49181.6
8,,1.0000*,9,,1.0000,639.6,1000.0,64.0,1.0 63960.9
9,,1.0000*,39,,1.0000,382.4,1000.0,38.2,1.0 38241.8
10,,1.0000*,11,,1.0000,581.9,1000.0,58.2,1.0 58188.0
10,,1.0000,13,,1.0000*,152.9,1000.0,15.3,1.0 15292.5
13,,1.0000,14,,1.0000*,122.8,1000.0,12.3,1.0 12283.3
14,,1.0000,15,,1.0000*,433.2,1000.0,43.3,1.0 43316.7
15,,1.0000,16,,1.0000*,725.2,1000.0,72.5,1.0 72524.7
16,,1.0000,17,,1.0000*,762.6,1000.0,76.3,1.0 76259.2
16,,1.0000,19,,1.0000*,497.7,500.0,99.5,1.0 49766.9
16,,1.0000*,21,,1.0000,990.4,500.0,198.1,1.0 99042.1
16,,1.0000,24,,1.0000*,393.5,500.0,78.7,1.0 39352.5
17,,1.0000,18,,1.0000*,571.8,500.0,114.4,1.0 57177.8
17,,1.0000*,27,,1.0000,203.9,500.0,40.8,1.0 20385.0
21,,1.0000,22,,1.0000*,1256.2,500.0,251.2,1.0125618.9
22,,1.0000*,23,,1.0000,414.5,500.0,82.9,1.0 41454.3
23,,1.0000*,24,,1.0000,714.0,500.0,142.8,1.0 71395.2
25,,1.0000,26,,1.0000*,115.3,500.0,23.1,1.0 11531.5
26,,1.0000,27,,1.0000*,194.8,500.0,39.0,1.0 19476.0
26,,1.0000,28,,1.0000*,147.3,500.0,29.5,1.0 14728.1
26,,1.0000,29,,1.0000*,198.6,500.0,39.7,1.0 19862.9
28,,1.0000,29,,1.0000*,350.1,500.0,70.0,1.0 35005.3
