from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3,PERCENT.1
1,,1.0000*,2,,1.0000,290.5,1000.0,29.1,1.0,29055.0
1,,1.0000*,39,,1.0000,733.7,1000.0,73.4,1.0,73368.6
2,,1.0000*,3,,1.0000,239.2,1000.0,23.9,1.0,23916.0
2,,1.0000,25,,1.0000*,286.1,1000.0,28.6,1.0,28614.5
3,,1.0000*,4,,1.0000,41.6,1000.0,4.2,1.0,4155.4
3,,1.0000,18,,1.0000*,63.4,1000.0,6.3,1.0,6340.5
4,,1.0000*,5,,1.0000,288.5,1000.0,28.8,1.0,28846.0
4,,1.0000,14,,1.0000*,267.3,1000.0,26.7,1.0,26729.3
5,,1.0000,6,,1.0000*,504.4,1000.0,50.4,1.0,50439.5
5,,1.0000,8,,1.0000*,277.2,1000.0,27.7,1.0,27720.7
6,,1.0000*,7,,1.0000,390.6,1000.0,39.1,1.0,39059.5
6,,1.0000,11,,1.0000*,329.8,1000.0,33.0,1.0,32975.3
7,,1.0000,8,,1.0000*,145.9,1000.0,14.6,1.0,14588.6
8,,1.0000,9,,1.0000*,180.9,1000.0,18.1,1.0,18094.2
9,,1.0000,39,,1.0000*,251.5,1000.0,25.1,1.0,25149.6
10,,1.0000*,11,,1.0000,317.8,1000.0,31.8,1.0,31775.5
10,,1.0000*,13,,1.0000,349.0,1000.0,34.9,1.0,34897.7
13,,1.0000*,14,,1.0000,345.4,1000.0,34.5,1.0,34541.1
14,,1.0000,15,,1.0000*,111.5,1000.0,11.1,1.0,11149.9
15,,1.0000*,16,,1.0000,251.9,1000.0,25.2,1.0,25190.2
16,,1.0000*,17,,1.0000,258.7,1000.0,25.9,1.0,25865.7
16,,1.0000,19,,1.0000*,454.6,500.0,90.9,1.0,45464.7
16,,1.0000,21,,1.0000*,335.8,500.0,67.2,1.0,33579.2
16,,1.0000*,24,,1.0000,88.3,500.0,17.7,1.0,8834.9
17,,1.0000*,18,,1.0000,210.0,500.0,42.0,1.0,21003.2
17,,1.0000*,27,,1.0000,49.7,500.0,9.9,1.0,4967.3
21,,1.0000,22,,1.0000*,611.9,500.0,122.4,1.0,61186.1
22,,1.0000,23,,1.0000*,73.8,500.0,14.8,1.0,7379.2
23,,1.0000*,24,,1.0000,354.5,500.0,70.9,1.0,35450.2
25,,1.0000,26,,1.0000*,54.7,500.0,10.9,1.0,5465.9
26,,1.0000,27,,1.0000*,245.6,500.0,49.1,1.0,24561.2
26,,1.0000,28,,1.0000*,155.4,500.0,31.1,1.0,15537.4
26,,1.0000,29,,1.0000*,206.5,500.0,41.3,1.0,20652.2
28,,1.0000,29,,1.0000*,352.3,500.0,70.5,1.0,35228.6
