from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT
1,,1.0000,2,,1.0000*,394.3,1000.0,39.4
1,,1.0000,39,,1.0000*,141.5,1000.0,14.1
2,,1.0000,3,,1.0000*,142.6,1000.0,14.3
2,,1.0000,25,,1.0000*,315.4,1000.0,31.5
3,,1.0000,4,,1.0000*,117.0,1000.0,11.7
3,,1.0000,18,,1.0000*,78.7,1000.0,7.9
4,,1.0000,5,,1.0000*,348.2,1000.0,34.8
4,,1.0000,14,,1.0000*,280.1,1000.0,28.0
5,,1.0000,6,,1.0000*,757.7,1000.0,75.8
5,,1.0000*,8,,1.0000,434.3,1000.0,43.4
6,,1.0000*,7,,1.0000,572.6,1000.0,57.3
6,,1.0000,11,,1.0000*,275.3,1000.0,27.5
7,,1.0000,8,,1.0000*,323.8,1000.0,32.4
8,,1.0000*,9,,1.0000,217.7,1000.0,21.8
9,,1.0000,39,,1.0000*,246.0,1000.0,24.6
10,,1.0000*,11,,1.0000,267.8,1000.0,26.8
10,,1.0000*,13,,1.0000,395.7,1000.0,39.6
13,,1.0000*,14,,1.0000,397.2,1000.0,39.7
14,,1.0000,15,,1.0000*,135.4,1000.0,13.5
15,,1.0000*,16,,1.0000,219.9,1000.0,22.0
16,,1.0000*,17,,1.0000,298.0,1000.0,29.8
16,,1.0000,19,,1.0000*,454.7,500.0,90.9
16,,1.0000,21,,1.0000*,335.7,500.0,67.1
16,,1.0000*,24,,1.0000,88.6,500.0,17.7
17,,1.0000*,18,,1.0000,225.8,500.0,45.2
17,,1.0000*,27,,1.0000,72.9,500.0,14.6
21,,1.0000,22,,1.0000*,611.9,500.0,122.4
22,,1.0000,23,,1.0000*,73.8,500.0,14.8
23,,1.0000*,24,,1.0000,354.5,500.0,70.9
25,,1.0000,26,,1.0000*,44.1,500.0,8.8
26,,1.0000,27,,1.0000*,225.5,500.0,45.1
26,,1.0000,28,,1.0000*,156.1,500.0,31.2
26,,1.0000,29,,1.0000*,207.2,500.0,41.4
28,,1.0000,29,,1.0000*,352.5,500.0,70.5
