NUMBER,PU,Angle
1,1.0316390991210938,-0.6855495572090149
2,1.0472019910812378,-0.4833100736141205
3,1.0399644374847412,-0.48711341619491577
4,1.0296578407287598,-0.445006787776947
5,1.0350704193115234,-0.39498135447502136
6,1.0363521575927734,-0.3701745569705963
7,1.0186885595321655,-0.4350946545600891
8,1.0147392749786377,-0.45798900723457336
9,1.018576979637146,-0.6681284308433533
10,1.0359472036361694,-0.3479754328727722
11,1.0349864959716797,-0.35595279932022095
12,1.0212197303771973,-0.36183881759643555
13,1.0331257581710815,-0.3659672439098358
14,1.0308997631072998,-0.40950050950050354
15,1.0262902975082397,-0.4430611729621887
16,1.0386666059494019,-0.43031585216522217
17,1.040623664855957,-0.45844534039497375
18,1.0390201807022095,-0.4767461121082306
19,1.0523669719696045,-0.3499629497528076
20,0.9922438859939575,-0.3744591176509857
21,1.0366116762161255,-0.3886558711528778
22,1.052392601966858,-0.3114387094974518
23,1.0474773645401,-0.31488481163978577
24,1.0435937643051147,-0.4282260239124298
25,1.0600043535232544,-0.45235514640808105
26,1.056362509727478,-0.4501991868019104
27,1.043599009513855,-0.47400611639022827
28,1.0523407459259033,-0.38912510871887207
29,1.051464319229126,-0.3410833775997162
30,1.0475000143051147,-0.44101524353027344
31,0.9819999933242798,-0.02769487537443638
32,0.9830999970436096,-0.2109658122062683
33,0.9972000122070312,-0.259000688791275
34,1.0123000144958496,-0.2839260399341583
35,1.049299955368042,-0.22505415976047516
36,1.0635000467300415,-0.1781320869922638
37,1.0277999639511108,-0.33415672183036804
38,1.0264999866485596,-0.21790875494480133
39,1.0299999713897705,-0.8087285161018372
