from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT
1,,1.0000,2,,1.0000*,320.1,1000.0,32.0
1,,1.0000,39,,1.0000*,324.8,1000.0,32.5
2,,1.0000,3,,1.0000*,202.0,1000.0,20.2
2,,1.0000,25,,1.0000*,302.0,1000.0,30.2
3,,1.0000,4,,1.0000*,67.2,1000.0,6.7
3,,1.0000,18,,1.0000*,72.3,1000.0,7.2
4,,1.0000*,5,,1.0000,298.2,1000.0,29.8
4,,1.0000,14,,1.0000*,278.8,1000.0,27.9
5,,1.0000,6,,1.0000*,749.4,1000.0,74.9
5,,1.0000*,8,,1.0000,476.9,1000.0,47.7
6,,1.0000*,7,,1.0000,605.9,1000.0,60.6
6,,1.0000,11,,1.0000*,296.0,1000.0,29.6
7,,1.0000*,8,,1.0000,356.5,1000.0,35.7
8,,1.0000*,9,,1.0000,291.9,1000.0,29.2
9,,1.0000,39,,1.0000*,306.0,1000.0,30.6
10,,1.0000*,11,,1.0000,288.3,1000.0,28.8
10,,1.0000*,13,,1.0000,373.3,1000.0,37.3
13,,1.0000*,14,,1.0000,372.7,1000.0,37.3
14,,1.0000,15,,1.0000*,116.7,1000.0,11.7
15,,1.0000*,16,,1.0000,240.7,1000.0,24.1
16,,1.0000*,17,,1.0000,275.4,1000.0,27.5
16,,1.0000,19,,1.0000*,454.7,500.0,90.9
16,,1.0000,21,,1.0000*,335.7,500.0,67.1
16,,1.0000*,24,,1.0000,88.5,500.0,17.7
17,,1.0000*,18,,1.0000,217.7,500.0,43.5
17,,1.0000*,27,,1.0000,58.8,500.0,11.8
21,,1.0000,22,,1.0000*,611.9,500.0,122.4
22,,1.0000,23,,1.0000*,73.8,500.0,14.8
23,,1.0000*,24,,1.0000,354.5,500.0,70.9
25,,1.0000,26,,1.0000*,52.9,500.0,10.6
26,,1.0000,27,,1.0000*,239.1,500.0,47.8
26,,1.0000,28,,1.0000*,156.1,500.0,31.2
26,,1.0000,29,,1.0000*,207.2,500.0,41.4
28,,1.0000,29,,1.0000*,352.5,500.0,70.5
