NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,104.06476593017578,30-1 
31,1 ,750.0,0.0,1080.480712890625,800.0,-500.0,501.6332092285156,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,35.21923828125,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,76.05284118652344,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,151.7490997314453,34-1 
35,1 ,750.0,0.0,650.0,800.0,-500.0,174.20938110351562,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,79.51089477539062,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,-30.857622146606445,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,2.1575441360473633,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,70.49559020996094,39-1 
