from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3 PERCENT
1,,1.0000,2,,1.0000*,532.1,1000.0,53.2,1.0 53214.8
1,,1.0000*,39,,1.0000,523.4,1000.0,52.3,1.0 52341.0
2,,1.0000,3,,1.0000*,68.6,1000.0,6.9,1.0  6863.9
2,,1.0000,25,,1.0000*,337.4,1000.0,33.7,1.0 33737.7
3,,1.0000,4,,1.0000*,219.5,1000.0,21.9,1.0 21947.1
3,,1.0000,18,,1.0000*,86.9,1000.0,8.7,1.0  8686.6
4,,1.0000,5,,1.0000*,418.6,1000.0,41.9,1.0 41862.7
4,,1.0000,14,,1.0000*,292.1,1000.0,29.2,1.0 29209.9
5,,1.0000,6,,1.0000*,1022.4,1000.0,102.2,1.0102236.5
5,,1.0000*,8,,1.0000,621.9,1000.0,62.2,1.0 62194.2
6,,1.0000*,7,,1.0000,774.2,1000.0,77.4,1.0 77418.8
6,,1.0000,11,,1.0000*,187.4,1000.0,18.7,1.0 18743.2
7,,1.0000*,8,,1.0000,520.5,1000.0,52.1,1.0 52050.9
8,,1.0000*,9,,1.0000,594.9,1000.0,59.5,1.0 59487.3
9,,1.0000*,39,,1.0000,593.9,1000.0,59.4,1.0 59393.8
10,,1.0000*,11,,1.0000,199.4,1000.0,19.9,1.0 19941.7
10,,1.0000*,13,,1.0000,451.3,1000.0,45.1,1.0 45134.7
13,,1.0000*,14,,1.0000,458.5,1000.0,45.9,1.0 45852.1
14,,1.0000,15,,1.0000*,165.9,1000.0,16.6,1.0 16590.2
15,,1.0000*,16,,1.0000,201.9,1000.0,20.2,1.0 20193.0
16,,1.0000*,17,,1.0000,342.0,1000.0,34.2,1.0 34201.9
16,,1.0000,19,,1.0000*,456.0,500.0,91.2,1.0 45599.7
16,,1.0000,21,,1.0000*,333.2,500.0,66.6,1.0 33315.3
16,,1.0000*,24,,1.0000,98.0,500.0,19.6,1.0  9798.5
17,,1.0000*,18,,1.0000,241.5,500.0,48.3,1.0 24151.7
17,,1.0000*,27,,1.0000,104.5,500.0,20.9,1.0 10454.8
21,,1.0000,22,,1.0000*,614.3,700.0,87.8,1.0 61429.6
22,,1.0000,23,,1.0000*,74.5,500.0,14.9,1.0  7450.4
23,,1.0000*,24,,1.0000,354.0,500.0,70.8,1.0 35398.1
25,,1.0000,26,,1.0000*,41.6,500.0,8.3,1.0  4161.2
26,,1.0000,27,,1.0000*,203.4,500.0,40.7,1.0 20337.6
26,,1.0000,28,,1.0000*,154.0,500.0,30.8,1.0 15399.2
26,,1.0000,29,,1.0000*,205.2,500.0,41.0,1.0 20522.0
28,,1.0000,29,,1.0000*,351.9,500.0,70.4,1.0 35185.6
