from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3 PERCENT
1,,1.0000*,2,,1.0000,49.4,1000.0,4.9,1.0  4942.5
1,,1.0000,39,,1.0000*,128.5,1000.0,12.8,1.0 12846.9
2,,1.0000*,3,,1.0000,375.1,1000.0,37.5,1.0 37511.1
2,,1.0000,25,,1.0000*,156.9,1000.0,15.7,1.0 15687.7
3,,1.0000,4,,1.0000*,284.5,1000.0,28.5,1.0 28450.4
3,,1.0000*,18,,1.0000,324.0,1000.0,32.4,1.0 32399.3
4,,1.0000,5,,1.0000*,684.8,1000.0,68.5,1.0 68479.4
4,,1.0000,14,,1.0000*,105.5,1000.0,10.5,1.0 10546.2
5,,1.0000,6,,1.0000*,1008.7,1000.0,100.9,1.0100874.0
5,,1.0000,8,,1.0000*,340.6,1000.0,34.1,1.0 34063.1
6,,1.0000*,7,,1.0000,541.7,1000.0,54.2,1.0 54167.0
6,,1.0000,11,,1.0000*,85.4,1000.0,8.5,1.0  8538.0
7,,1.0000*,8,,1.0000,294.9,1000.0,29.5,1.0 29492.3
8,,1.0000*,9,,1.0000,110.6,1000.0,11.1,1.0 11058.7
9,,1.0000,39,,1.0000*,146.8,1000.0,14.7,1.0 14675.5
10,,1.0000*,11,,1.0000,34.8,1000.0,3.5,1.0  3483.9
10,,1.0000*,13,,1.0000,651.6,1000.0,65.2,1.0 65164.3
13,,1.0000*,14,,1.0000,676.2,1000.0,67.6,1.0 67617.0
14,,1.0000*,15,,1.0000,572.8,1000.0,57.3,1.0 57278.3
15,,1.0000*,16,,1.0000,302.9,1000.0,30.3,1.0 30293.6
16,,1.0000*,17,,1.0000,256.7,1000.0,25.7,1.0 25674.5
16,,1.0000,19,,1.0000*,456.7,500.0,91.3,1.0 45667.1
16,,1.0000*,21,,1.0000,193.5,500.0,38.7,1.0 19352.2
16,,1.0000,24,,1.0000*,448.2,500.0,89.6,1.0 44816.5
17,,1.0000,18,,1.0000*,166.1,500.0,33.2,1.0 16613.8
17,,1.0000,27,,1.0000*,93.7,500.0,18.7,1.0  9367.6
21,,1.0000*,22,,1.0000,141.3,700.0,20.2,1.0 14131.0
22,,1.0000*,23,,1.0000,570.5,500.0,114.1,1.0 57048.6
23,,1.0000,24,,1.0000*,126.3,500.0,25.3,1.0 12630.7
25,,1.0000*,26,,1.0000,185.5,500.0,37.1,1.0 18549.9
26,,1.0000*,27,,1.0000,378.2,500.0,75.6,1.0 37820.0
26,,1.0000,28,,1.0000*,152.5,500.0,30.5,1.0 15252.1
26,,1.0000,29,,1.0000*,203.8,500.0,40.8,1.0 20381.9
28,,1.0000,29,,1.0000*,351.4,500.0,70.3,1.0 35141.6
