from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT
1,,1.0000*,2,,1.0000,125.1,1000.0,12.5
1,,1.0000,39,,1.0000*,168.4,1000.0,16.8
2,,1.0000*,3,,1.0000,364.7,1000.0,36.5
2,,1.0000,25,,1.0000*,264.5,1000.0,26.5
3,,1.0000*,4,,1.0000,76.8,1000.0,7.7
3,,1.0000,18,,1.0000*,55.8,1000.0,5.6
4,,1.0000*,5,,1.0000,189.8,1000.0,19.0
4,,1.0000,14,,1.0000*,264.8,1000.0,26.5
5,,1.0000,6,,1.0000*,483.7,1000.0,48.4
5,,1.0000,8,,1.0000*,339.4,1000.0,33.9
6,,1.0000*,7,,1.0000,442.8,1000.0,44.3
6,,1.0000,11,,1.0000*,374.1,1000.0,37.4
7,,1.0000,8,,1.0000*,195.4,1000.0,19.5
8,,1.0000,9,,1.0000*,26.0,1000.0,2.6
9,,1.0000,39,,1.0000*,151.6,1000.0,15.2
10,,1.0000*,11,,1.0000,361.1,1000.0,36.1
10,,1.0000,13,,1.0000*,301.3,1000.0,30.1
13,,1.0000*,14,,1.0000,293.4,1000.0,29.3
14,,1.0000,15,,1.0000*,86.1,1000.0,8.6
15,,1.0000*,16,,1.0000,298.4,1000.0,29.8
16,,1.0000*,17,,1.0000,212.4,1000.0,21.2
16,,1.0000,19,,1.0000*,454.6,500.0,90.9
16,,1.0000,21,,1.0000*,336.2,500.0,67.2
16,,1.0000*,24,,1.0000,87.2,500.0,17.4
17,,1.0000*,18,,1.0000,194.1,500.0,38.8
17,,1.0000*,27,,1.0000,24.0,500.0,4.8
21,,1.0000,22,,1.0000*,611.6,500.0,122.3
22,,1.0000,23,,1.0000*,73.7,500.0,14.7
23,,1.0000*,24,,1.0000,354.6,500.0,70.9
25,,1.0000,26,,1.0000*,84.7,500.0,16.9
26,,1.0000,27,,1.0000*,276.1,500.0,55.2
26,,1.0000,28,,1.0000*,156.2,500.0,31.2
26,,1.0000,29,,1.0000*,207.3,500.0,41.5
28,,1.0000,29,,1.0000*,352.6,500.0,70.5
