NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,112.64675903320312,30-1 
31,1 ,750.0,0.0,1582.61962890625,800.0,-500.0,761.5902709960938,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,105.99663543701172,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,88.1297836303711,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,157.34495544433594,34-1 
35,1 ,850.0,0.0,650.0,800.0,-500.0,187.76031494140625,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,87.19538879394531,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,-19.621755599975586,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,9.855660438537598,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,44.75321960449219,39-1 
