from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3,PERCENT.1
1,,1.0000,2,,1.0000*,158.5,1000.0,15.8,1.0,15846.5
1,,1.0000,39,,1.0000*,188.9,1000.0,18.9,1.0,18890.0
2,,1.0000,3,,1.0000*,337.3,1000.0,33.7,1.0,33731.9
2,,1.0000,25,,1.0000*,268.4,1000.0,26.8,1.0,26841.6
3,,1.0000,4,,1.0000*,79.9,1000.0,8.0,1.0,7994.8
3,,1.0000,18,,1.0000*,51.3,1000.0,5.1,1.0,5128.5
4,,1.0000*,5,,1.0000,164.9,1000.0,16.5,1.0,16490.3
4,,1.0000,14,,1.0000*,285.2,1000.0,28.5,1.0,28520.4
5,,1.0000,6,,1.0000*,971.3,1000.0,97.1,1.0,97127.3
5,,1.0000*,8,,1.0000,820.3,1000.0,82.0,1.0,82030.0
6,,1.0000*,7,,1.0000,926.4,1000.0,92.6,1.0,92640.9
6,,1.0000,11,,1.0000*,313.1,1000.0,31.3,1.0,31309.8
7,,1.0000*,8,,1.0000,673.1,1000.0,67.3,1.0,67313.4
8,,1.0000*,9,,1.0000,86.0,1000.0,8.6,1.0,8596.4
9,,1.0000,39,,1.0000*,108.0,1000.0,10.8,1.0,10796.4
10,,1.0000*,11,,1.0000,314.6,1000.0,31.5,1.0,31457.8
10,,1.0000*,13,,1.0000,336.2,1000.0,33.6,1.0,33617.5
13,,1.0000*,14,,1.0000,332.7,1000.0,33.3,1.0,33273.7
14,,1.0000,15,,1.0000*,63.2,1000.0,6.3,1.0,6316.9
15,,1.0000*,16,,1.0000,294.9,1000.0,29.5,1.0,29491.8
16,,1.0000*,17,,1.0000,226.5,1000.0,22.6,1.0,22646.4
16,,1.0000,19,,1.0000*,455.4,500.0,91.1,1.0,45544.8
16,,1.0000,21,,1.0000*,333.9,500.0,66.8,1.0,33385.7
16,,1.0000*,24,,1.0000,95.1,500.0,19.0,1.0,9506.9
17,,1.0000*,18,,1.0000,199.7,500.0,39.9,1.0,19974.0
17,,1.0000*,27,,1.0000,37.0,500.0,7.4,1.0,3699.8
21,,1.0000,22,,1.0000*,613.5,700.0,87.6,1.0,61350.9
22,,1.0000,23,,1.0000*,74.3,500.0,14.9,1.0,7429.0
23,,1.0000*,24,,1.0000,354.1,500.0,70.8,1.0,35409.8
25,,1.0000,26,,1.0000*,78.1,500.0,15.6,1.0,7810.9
26,,1.0000,27,,1.0000*,270.2,500.0,54.0,1.0,27020.5
26,,1.0000,28,,1.0000*,154.6,500.0,30.9,1.0,15460.3
26,,1.0000,29,,1.0000*,205.8,500.0,41.2,1.0,20579.7
28,,1.0000,29,,1.0000*,352.0,500.0,70.4,1.0,35204.5
