Begin Report RATE_3
PSS(R)E Xplore-36.1.0 LIMIT CHECKING REPORT - BRANCH FLOWS          TUE, APR 29 2025  21:35
NEW ENGLAND TEST SYSTEM, 39 BUSES, 9 GENERATORS
CREATED BY PABLO LEDESMA PABLOLE@ING.UC3M.ES

SUBSYSTEM LOADING CHECK (INCLUDED: LINES; BREAKERS AND SWITCHES; TRANSFORMERS) (EXCLUDED: NONE)
MVA LOADINGS ABOVE 100.0 % OF BRANCH RATING:
LOADINGS ABOVE 100.0 % OF SWITCHING DEVICE RATING

X----------- FROM BUS ------------X X------------ TO BUS -------------X               RATING SET 1    RATING SET 3
  BUS#-SCT X-- NAME --X BASKV  AREA   BUS#-SCT X-- NAME --X BASKV  AREA CKT LOADING   RATE1 PERCENT   RATE3 PERCENT
     1     1           1.0000*    1      2     2           1.0000     1  1     74.3  1000.0     7.4     1.0  7429.7
     1     1           1.0000     1     39     39          1.0000*    1  1    143.6  1000.0    14.4     1.0 14364.7
     2     2           1.0000     1      3     3           1.0000*    1  1    135.1  1000.0    13.5     1.0 13513.1
     2     2           1.0000*    1     25     25          1.0000     1  1    211.6  1000.0    21.2     1.0 21155.8
     3     3           1.0000     1      4     4           1.0000*    1  1    420.1  1000.0    42.0     1.0 42010.2
     3     3           1.0000     1     18     18          1.0000*    1  1    189.7  1000.0    19.0     1.0 18973.2
     4     4           1.0000     1      5     5           1.0000*    1  1    699.7  1000.0    70.0     1.0 69971.9
     4     4           1.0000     1     14     14          1.0000*    1  1    230.7  1000.0    23.1     1.0 23068.7
     5     5           1.0000     1      6     6           1.0000*    1  1   1047.7  1000.0   104.8     1.0104774.0
     5     5           1.0000*    1      8     8           1.0000     1  1    367.6  1000.0    36.8     1.0 36764.3
     6     6           1.0000*    1      7     7           1.0000     1  1    572.5  1000.0    57.2     1.0 57246.2
     6     6           1.0000     1     11     11          1.0000*    1  1    105.1  1000.0    10.5     1.0 10514.6
     7     7           1.0000*    1      8     8           1.0000     1  1    324.5  1000.0    32.5     1.0 32450.3
     8     8           1.0000*    1      9     9           1.0000     1  1    158.6  1000.0    15.9     1.0 15856.7
     9     9           1.0000     1     39     39          1.0000*    1  1    190.2  1000.0    19.0     1.0 19021.9
    10     10          1.0000*    1     11     11          1.0000     1  1     77.5  1000.0     7.7     1.0  7747.7
    10     10          1.0000*    1     13     13          1.0000     1  1    602.1  1000.0    60.2     1.0 60205.0
    13     13          1.0000*    1     14     14          1.0000     1  1    621.7  1000.0    62.2     1.0 62169.1
    14     14          1.0000*    1     15     15          1.0000     1  1    391.0  1000.0    39.1     1.0 39099.6
    15     15          1.0000*    1     16     16          1.0000     1  1    142.9  1000.0    14.3     1.0 14292.2
    16     16          1.0000*    1     17     17          1.0000     1  1    562.4  1000.0    56.2     1.0 56235.1
    16     16          1.0000     1     19     19          1.0000*    1  1    457.3   500.0    91.5     1.0 45730.9
    16     16          1.0000     1     21     21          1.0000*    1  1    332.1   500.0    66.4     1.0 33207.2
    16     16          1.0000*    1     24     24          1.0000     1  1    103.3   500.0    20.7     1.0 10331.1
    17     17          1.0000*    1     18     18          1.0000     1  1     48.7   500.0     9.7     1.0  4871.0
    17     17          1.0000*    1     27     27          1.0000     1  1    582.3   500.0   116.5     1.0 58225.2
    21     21          1.0000     1     22     22          1.0000*    1  1    615.8   500.0   123.2     1.0 61584.3
    22     22          1.0000     1     23     23          1.0000*    1  1     74.9   500.0    15.0     1.0  7489.4
    23     23          1.0000*    1     24     24          1.0000     1  1    353.9   500.0    70.8     1.0 35385.8
    25     25          1.0000*    1     26     26          1.0000     1  1    521.8   500.0   104.4     1.0 52182.9
    26     26          1.0000     1     27     27          1.0000*    1  1    308.8   500.0    61.8     1.0 30882.1
    26     26          1.0000*    1     28     28          1.0000     1  1    364.3   500.0    72.9     1.0 36433.7
    26     26          1.0000*    1     29     29          1.0000     1  1    317.9   500.0    63.6     1.0 31786.0
    28     28          1.0000*    1     29     29          1.0000     1  1    159.3   500.0    31.9     1.0 15928.4
