from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3 PERCENT
1,,1.0000*,2,,1.0000,67.5,1000.0,6.8,1.0  6750.9
1,,1.0000,39,,1.0000*,131.6,1000.0,13.2,1.0 13163.6
2,,1.0000,3,,1.0000*,147.4,1000.0,14.7,1.0 14743.3
2,,1.0000,25,,1.0000*,129.7,1000.0,13.0,1.0 12969.0
3,,1.0000*,4,,1.0000,93.5,1000.0,9.3,1.0  9349.5
3,,1.0000,18,,1.0000*,223.7,1000.0,22.4,1.0 22365.8
4,,1.0000*,5,,1.0000,258.2,1000.0,25.8,1.0 25822.3
4,,1.0000,14,,1.0000*,389.0,1000.0,38.9,1.0 38899.3
5,,1.0000,6,,1.0000*,556.6,1000.0,55.7,1.0 55661.3
5,,1.0000,8,,1.0000*,361.5,1000.0,36.1,1.0 36149.5
6,,1.0000*,7,,1.0000,478.7,1000.0,47.9,1.0 47873.2
6,,1.0000,11,,1.0000*,417.8,1000.0,41.8,1.0 41783.6
7,,1.0000,8,,1.0000*,230.8,1000.0,23.1,1.0 23081.2
8,,1.0000*,9,,1.0000,59.5,1000.0,5.9,1.0  5948.0
9,,1.0000,39,,1.0000*,146.9,1000.0,14.7,1.0 14693.4
10,,1.0000*,11,,1.0000,397.9,1000.0,39.8,1.0 39788.6
10,,1.0000,13,,1.0000*,285.5,1000.0,28.6,1.0 28550.9
13,,1.0000,14,,1.0000*,268.9,1000.0,26.9,1.0 26887.7
14,,1.0000,15,,1.0000*,212.5,1000.0,21.2,1.0 21247.5
15,,1.0000,16,,1.0000*,446.6,1000.0,44.7,1.0 44656.2
16,,1.0000,17,,1.0000*,998.5,1000.0,99.9,1.0 99854.4
16,,1.0000,19,,1.0000*,1432.6,500.0,286.5,1.0143263.7
16,,1.0000*,21,,1.0000,332.3,500.0,66.5,1.0 33233.0
16,,1.0000*,24,,1.0000,142.4,500.0,28.5,1.0 14242.7
17,,1.0000*,18,,1.0000,340.6,500.0,68.1,1.0 34059.6
17,,1.0000*,27,,1.0000,674.7,500.0,134.9,1.0 67469.2
21,,1.0000,22,,1.0000*,631.6,500.0,126.3,1.0 63157.7
22,,1.0000,23,,1.0000*,77.8,500.0,15.6,1.0  7775.4
23,,1.0000*,24,,1.0000,356.4,500.0,71.3,1.0 35639.8
25,,1.0000*,26,,1.0000,430.3,500.0,86.1,1.0 43029.6
26,,1.0000,27,,1.0000*,412.4,500.0,82.5,1.0 41236.4
26,,1.0000*,28,,1.0000,365.7,500.0,73.1,1.0 36571.8
26,,1.0000*,29,,1.0000,320.1,500.0,64.0,1.0 32009.3
28,,1.0000*,29,,1.0000,163.5,500.0,32.7,1.0 16345.6
