NUMBER,PU,Angle
1,1.0246814489364624,-0.015046815387904644
2,1.052394986152649,-0.18804539740085602
3,1.0442869663238525,-0.24328085780143738
4,1.0456372499465942,-0.21411700546741486
5,1.0600967407226562,-0.16257894039154053
6,1.0619451999664307,-0.15041883289813995
7,1.0455960035324097,-0.16924582421779633
8,1.041418433189392,-0.169083371758461
9,1.021718978881836,-0.015271944925189018
10,1.051236629486084,-0.1293882429599762
11,1.0537217855453491,-0.13702426850795746
12,1.0383455753326416,-0.14295460283756256
13,1.0478153228759766,-0.14720359444618225
14,1.043614149093628,-0.1904279589653015
15,1.0290472507476807,-0.24375872313976288
16,1.0372531414031982,-0.23981556296348572
17,1.034765362739563,-0.2764045000076294
18,1.0370455980300903,-0.2711019515991211
19,1.051847219467163,-0.15938520431518555
20,0.9919602870941162,-0.1839117407798767
21,1.0356169939041138,-0.19808442890644073
22,1.0518598556518555,-0.1207796037197113
23,1.0469260215759277,-0.12422863394021988
24,1.04230535030365,-0.23772621154785156
25,1.0342929363250732,-0.21095280349254608
26,1.0295079946517944,-0.3916943371295929
27,1.0251470804214478,-0.3594052791595459
28,1.0352569818496704,-0.5532420873641968
29,1.0402610301971436,-0.5747349262237549
30,1.0475000143051147,-0.14595940709114075
31,0.9819999933242798,-0.02769487537443638
32,0.9830999970436096,0.005616456735879183
33,0.9972000122070312,-0.06840236485004425
34,1.0123000144958496,-0.09336704015731812
35,1.049299955368042,-0.03435119614005089
36,1.0635000467300415,0.012586674652993679
37,1.0277999639511108,-0.09045220911502838
38,1.0264999866485596,-0.6008652448654175
39,1.0,0.09536408632993698
