NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,120.42111206054688,30-1 
31,1 ,750.0,0.0,647.0022583007812,800.0,-500.0,431.9075012207031,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,62.89690017700195,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,347.98956298828125,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,190.76856994628906,34-1 
34,2 ,400.0,0.0,1000.0,300.0,0.0,300.0,34-2 
35,1 ,750.0,0.0,650.0,800.0,-500.0,284.9587707519531,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,142.316162109375,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,71.01029968261719,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,103.62498474121094,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,-8.281937599182129,39-1 
