from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3 PERCENT
1,,1.0000*,2,,1.0000,49.7,1000.0,5.0,1.0  4973.1
1,,1.0000,39,,1.0000*,128.8,1000.0,12.9,1.0 12875.2
2,,1.0000*,3,,1.0000,374.9,1000.0,37.5,1.0 37488.0
2,,1.0000,25,,1.0000*,157.1,1000.0,15.7,1.0 15713.7
3,,1.0000,4,,1.0000*,284.0,1000.0,28.4,1.0 28399.9
3,,1.0000*,18,,1.0000,323.4,1000.0,32.3,1.0 32344.4
4,,1.0000,5,,1.0000*,684.0,1000.0,68.4,1.0 68398.0
4,,1.0000,14,,1.0000*,105.5,1000.0,10.6,1.0 10550.5
5,,1.0000,6,,1.0000*,1008.0,1000.0,100.8,1.0100799.0
5,,1.0000,8,,1.0000*,340.7,1000.0,34.1,1.0 34069.7
6,,1.0000*,7,,1.0000,541.5,1000.0,54.2,1.0 54152.4
6,,1.0000,11,,1.0000*,85.2,1000.0,8.5,1.0  8520.6
7,,1.0000*,8,,1.0000,294.8,1000.0,29.5,1.0 29476.1
8,,1.0000*,9,,1.0000,110.2,1000.0,11.0,1.0 11020.5
9,,1.0000,39,,1.0000*,147.0,1000.0,14.7,1.0 14700.1
10,,1.0000*,11,,1.0000,34.9,1000.0,3.5,1.0  3494.4
10,,1.0000*,13,,1.0000,651.1,1000.0,65.1,1.0 65108.9
13,,1.0000*,14,,1.0000,675.7,1000.0,67.6,1.0 67566.4
14,,1.0000*,15,,1.0000,572.1,1000.0,57.2,1.0 57206.0
15,,1.0000*,16,,1.0000,303.1,1000.0,30.3,1.0 30310.0
16,,1.0000,17,,1.0000*,256.0,1000.0,25.6,1.0 25597.9
16,,1.0000,19,,1.0000*,456.4,500.0,91.3,1.0 45639.0
16,,1.0000*,21,,1.0000,314.2,500.0,62.8,1.0 31419.5
16,,1.0000*,24,,1.0000,333.8,500.0,66.8,1.0 33384.5
17,,1.0000,18,,1.0000*,165.8,500.0,33.2,1.0 16575.3
17,,1.0000,27,,1.0000*,93.7,500.0,18.7,1.0  9373.4
21,,1.0000*,22,,1.0000,126.6,700.0,18.1,1.0 12660.1
22,,1.0000,23,,1.0000*,318.1,500.0,63.6,1.0 31807.0
23,,1.0000,24,,1.0000*,31.2,500.0,6.2,1.0  3119.6
25,,1.0000*,26,,1.0000,185.4,500.0,37.1,1.0 18541.2
26,,1.0000*,27,,1.0000,377.9,500.0,75.6,1.0 37789.0
26,,1.0000,28,,1.0000*,152.7,500.0,30.5,1.0 15265.7
26,,1.0000,29,,1.0000*,203.9,500.0,40.8,1.0 20394.9
28,,1.0000,29,,1.0000*,351.5,500.0,70.3,1.0 35145.6
