NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,114.56550598144531,30-1 
31,1 ,750.0,0.0,1599.3538818359375,800.0,-500.0,740.453125,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,111.05416107177734,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,207.19493103027344,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,310.08648681640625,34-1 
35,1 ,850.0,0.0,650.0,800.0,-500.0,218.51580810546875,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,104.63648986816406,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,5.090272426605225,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,27.258676528930664,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,17.860742568969727,39-1 
