from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3,PERCENT.1
1,,1.0000*,2,,1.0000,405.9,1000.0,40.6,1.0,40587.8
1,,1.0000,39,,1.0000*,417.4,1000.0,41.7,1.0,41742.6
2,,1.0000*,3,,1.0000,692.0,1000.0,69.2,1.0,69197.2
2,,1.0000,25,,1.0000*,67.5,1000.0,6.7,1.0,6748.7
3,,1.0000*,4,,1.0000,25.3,1000.0,2.5,1.0,2529.6
3,,1.0000*,18,,1.0000,376.7,1000.0,37.7,1.0,37673.9
4,,1.0000,5,,1.0000*,458.8,1000.0,45.9,1.0,45876.1
4,,1.0000,14,,1.0000*,75.2,1000.0,7.5,1.0,7522.3
5,,1.0000,6,,1.0000*,501.3,1000.0,50.1,1.0,50132.4
5,,1.0000,8,,1.0000*,187.8,1000.0,18.8,1.0,18777.8
6,,1.0000,7,,1.0000*,278.9,1000.0,27.9,1.0,27885.2
6,,1.0000,11,,1.0000*,166.6,1000.0,16.7,1.0,16661.8
7,,1.0000,8,,1.0000*,106.9,1000.0,10.7,1.0,10691.2
8,,1.0000*,9,,1.0000,504.4,1000.0,50.4,1.0,50435.5
9,,1.0000,39,,1.0000*,514.8,1000.0,51.5,1.0,51479.5
10,,1.0000*,11,,1.0000,155.5,1000.0,15.6,1.0,15553.2
10,,1.0000*,13,,1.0000,517.7,1000.0,51.8,1.0,51770.0
13,,1.0000*,14,,1.0000,528.6,1000.0,52.9,1.0,52865.0
14,,1.0000*,15,,1.0000,460.6,1000.0,46.1,1.0,46060.0
15,,1.0000*,16,,1.0000,179.9,1000.0,18.0,1.0,17989.2
16,,1.0000,17,,1.0000*,384.2,1000.0,38.4,1.0,38421.1
16,,1.0000*,19,,1.0000,563.9,500.0,112.8,1.0,56392.3
16,,1.0000,21,,1.0000*,331.4,500.0,66.3,1.0,33139.5
16,,1.0000*,24,,1.0000,107.6,500.0,21.5,1.0,10756.2
17,,1.0000,18,,1.0000*,218.0,500.0,43.6,1.0,21804.9
17,,1.0000,27,,1.0000*,170.3,500.0,34.1,1.0,17026.8
21,,1.0000,22,,1.0000*,617.2,500.0,123.4,1.0,61718.0
22,,1.0000,23,,1.0000*,75.2,500.0,15.0,1.0,7520.5
23,,1.0000*,24,,1.0000,353.8,500.0,70.8,1.0,35384.2
25,,1.0000*,26,,1.0000,263.2,500.0,52.6,1.0,26316.0
26,,1.0000*,27,,1.0000,453.6,500.0,90.7,1.0,45360.9
26,,1.0000,28,,1.0000*,149.7,500.0,29.9,1.0,14973.1
26,,1.0000,29,,1.0000*,201.1,500.0,40.2,1.0,20110.6
28,,1.0000,29,,1.0000*,350.6,500.0,70.1,1.0,35064.2
