from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3 PERCENT
1,,1.0000*,2,,1.0000,47.4,1000.0,4.7,1.0  4742.5
1,,1.0000,39,,1.0000*,126.6,1000.0,12.7,1.0 12656.2
2,,1.0000*,3,,1.0000,376.7,1000.0,37.7,1.0 37673.5
2,,1.0000,25,,1.0000*,155.7,1000.0,15.6,1.0 15568.5
3,,1.0000,4,,1.0000*,286.1,1000.0,28.6,1.0 28608.8
3,,1.0000*,18,,1.0000,326.1,1000.0,32.6,1.0 32608.3
4,,1.0000,5,,1.0000*,687.8,1000.0,68.8,1.0 68778.2
4,,1.0000,14,,1.0000*,106.1,1000.0,10.6,1.0 10606.0
5,,1.0000,6,,1.0000*,1011.2,1000.0,101.1,1.0101118.2
5,,1.0000,8,,1.0000*,340.2,1000.0,34.0,1.0 34019.1
6,,1.0000*,7,,1.0000,542.2,1000.0,54.2,1.0 54217.1
6,,1.0000,11,,1.0000*,86.4,1000.0,8.6,1.0  8641.9
7,,1.0000*,8,,1.0000,295.5,1000.0,29.6,1.0 29550.5
8,,1.0000*,9,,1.0000,112.5,1000.0,11.3,1.0 11254.4
9,,1.0000,39,,1.0000*,145.0,1000.0,14.5,1.0 14504.7
10,,1.0000*,11,,1.0000,34.9,1000.0,3.5,1.0  3485.1
10,,1.0000*,13,,1.0000,653.7,1000.0,65.4,1.0 65368.0
13,,1.0000*,14,,1.0000,677.7,1000.0,67.8,1.0 67771.7
14,,1.0000*,15,,1.0000,575.1,1000.0,57.5,1.0 57508.6
15,,1.0000*,16,,1.0000,299.1,1000.0,29.9,1.0 29911.0
16,,1.0000*,17,,1.0000,260.7,1000.0,26.1,1.0 26069.6
16,,1.0000,19,,1.0000*,459.1,500.0,91.8,1.0 45911.7
16,,1.0000*,21,,1.0000,498.3,500.0,99.7,1.0 49831.9
16,,1.0000*,24,,1.0000,177.7,500.0,35.5,1.0 17772.7
17,,1.0000,18,,1.0000*,167.2,500.0,33.4,1.0 16720.5
17,,1.0000*,27,,1.0000,95.2,500.0,19.0,1.0  9515.9
21,,1.0000,22,,1.0000*,796.8,700.0,113.8,1.0 79682.5
22,,1.0000,23,,1.0000*,141.5,500.0,28.3,1.0 14146.8
23,,1.0000,24,,1.0000*,178.8,500.0,35.8,1.0 17877.2
25,,1.0000*,26,,1.0000,185.6,500.0,37.1,1.0 18559.7
26,,1.0000*,27,,1.0000,379.9,500.0,76.0,1.0 37988.4
26,,1.0000,28,,1.0000*,151.6,500.0,30.3,1.0 15162.3
26,,1.0000,29,,1.0000*,203.0,500.0,40.6,1.0 20295.5
28,,1.0000,29,,1.0000*,351.2,500.0,70.2,1.0 35115.8
