NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,125.76166534423828,30-1 
31,1 ,750.0,0.0,606.8177490234375,800.0,-500.0,498.490966796875,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,191.20863342285156,32-1 
32,2 ,400.0,0.0,1000.0,300.0,0.0,294.1671447753906,32-2 
33,1 ,750.0,0.0,632.0,800.0,-500.0,128.27413940429688,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,175.9475860595703,34-1 
35,1 ,750.0,0.0,650.0,800.0,-500.0,232.82127380371094,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,112.74922943115234,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,59.28363800048828,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,80.0980453491211,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,19.688167572021484,39-1 
