from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3,PERCENT.1
1,,1.0000*,2,,1.0000,439.7,1000.0,44.0,1.0,43973.0
1,,1.0000,39,,1.0000*,448.7,1000.0,44.9,1.0,44871.2
2,,1.0000*,3,,1.0000,534.0,1000.0,53.4,1.0,53403.0
2,,1.0000,25,,1.0000*,140.4,1000.0,14.0,1.0,14037.0
3,,1.0000*,4,,1.0000,129.9,1000.0,13.0,1.0,12990.1
3,,1.0000,18,,1.0000*,338.2,1000.0,33.8,1.0,33824.5
4,,1.0000,5,,1.0000*,468.5,1000.0,46.9,1.0,46854.9
4,,1.0000,14,,1.0000*,176.7,1000.0,17.7,1.0,17670.2
5,,1.0000,6,,1.0000*,526.4,1000.0,52.6,1.0,52641.8
5,,1.0000,8,,1.0000*,187.5,1000.0,18.7,1.0,18748.5
6,,1.0000,7,,1.0000*,289.7,1000.0,29.0,1.0,28966.8
6,,1.0000,11,,1.0000*,202.5,1000.0,20.2,1.0,20249.2
7,,1.0000,8,,1.0000*,99.9,1000.0,10.0,1.0,9990.7
8,,1.0000*,9,,1.0000,468.7,1000.0,46.9,1.0,46866.4
9,,1.0000,39,,1.0000*,483.1,1000.0,48.3,1.0,48312.9
10,,1.0000*,11,,1.0000,194.2,1000.0,19.4,1.0,19423.5
10,,1.0000*,13,,1.0000,475.7,1000.0,47.6,1.0,47566.4
13,,1.0000*,14,,1.0000,482.5,1000.0,48.2,1.0,48249.7
14,,1.0000,15,,1.0000*,310.8,1000.0,31.1,1.0,31083.5
15,,1.0000*,16,,1.0000,93.2,1000.0,9.3,1.0,9320.9
16,,1.0000*,17,,1.0000,480.8,1000.0,48.1,1.0,48082.1
16,,1.0000,19,,1.0000*,459.1,500.0,91.8,1.0,45906.1
16,,1.0000,21,,1.0000*,331.2,500.0,66.2,1.0,33123.3
16,,1.0000*,24,,1.0000,108.8,500.0,21.8,1.0,10877.6
17,,1.0000*,18,,1.0000,179.1,500.0,35.8,1.0,17913.0
17,,1.0000*,27,,1.0000,657.3,500.0,131.5,1.0,65727.7
21,,1.0000,22,,1.0000*,617.6,500.0,123.5,1.0,61757.9
22,,1.0000,23,,1.0000*,75.3,500.0,15.1,1.0,7529.4
23,,1.0000*,24,,1.0000,353.9,500.0,70.8,1.0,35385.1
25,,1.0000*,26,,1.0000,452.8,500.0,90.6,1.0,45278.3
26,,1.0000*,27,,1.0000,643.1,500.0,128.6,1.0,64309.5
26,,1.0000*,28,,1.0000,149.3,500.0,29.9,1.0,14925.5
26,,1.0000*,29,,1.0000,196.8,500.0,39.4,1.0,19683.9
28,,1.0000,29,,1.0000*,349.5,500.0,69.9,1.0,34953.8
