from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT
1,,1.0000*,2,,1.0000,135.5,1000.0,13.6
1,,1.0000,39,,1.0000*,174.9,1000.0,17.5
2,,1.0000*,3,,1.0000,355.3,1000.0,35.5
2,,1.0000,25,,1.0000*,266.3,1000.0,26.6
3,,1.0000,4,,1.0000*,70.1,1000.0,7.0
3,,1.0000,18,,1.0000*,55.6,1000.0,5.6
4,,1.0000*,5,,1.0000,183.9,1000.0,18.4
4,,1.0000,14,,1.0000*,271.6,1000.0,27.2
5,,1.0000,6,,1.0000*,645.0,1000.0,64.5
5,,1.0000*,8,,1.0000,495.8,1000.0,49.6
6,,1.0000*,7,,1.0000,769.8,1000.0,77.0
6,,1.0000,11,,1.0000*,357.6,1000.0,35.8
7,,1.0000,8,,1.0000*,38.7,1000.0,3.9
8,,1.0000*,9,,1.0000,37.3,1000.0,3.7
9,,1.0000,39,,1.0000*,143.3,1000.0,14.3
10,,1.0000*,11,,1.0000,347.1,1000.0,34.7
10,,1.0000,13,,1.0000*,312.4,1000.0,31.2
13,,1.0000*,14,,1.0000,305.8,1000.0,30.6
14,,1.0000,15,,1.0000*,82.2,1000.0,8.2
15,,1.0000*,16,,1.0000,295.2,1000.0,29.5
16,,1.0000*,17,,1.0000,217.0,1000.0,21.7
16,,1.0000,19,,1.0000*,454.7,500.0,90.9
16,,1.0000,21,,1.0000*,335.8,500.0,67.2
16,,1.0000*,24,,1.0000,88.4,500.0,17.7
17,,1.0000*,18,,1.0000,196.0,500.0,39.2
17,,1.0000*,27,,1.0000,26.9,500.0,5.4
21,,1.0000,22,,1.0000*,611.9,500.0,122.4
22,,1.0000,23,,1.0000*,73.8,500.0,14.8
23,,1.0000*,24,,1.0000,354.5,500.0,70.9
25,,1.0000,26,,1.0000*,82.5,500.0,16.5
26,,1.0000,27,,1.0000*,273.9,500.0,54.8
26,,1.0000,28,,1.0000*,156.0,500.0,31.2
26,,1.0000,29,,1.0000*,207.1,500.0,41.4
28,,1.0000,29,,1.0000*,352.5,500.0,70.5
