from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT
1,,1.0000*,2,,1.0000,135.8,1000.0,13.6
1,,1.0000,39,,1.0000*,176.0,1000.0,17.6
2,,1.0000*,3,,1.0000,355.5,1000.0,35.6
2,,1.0000,25,,1.0000*,267.5,1000.0,26.8
3,,1.0000*,4,,1.0000,71.8,1000.0,7.2
3,,1.0000,18,,1.0000*,58.9,1000.0,5.9
4,,1.0000*,5,,1.0000,194.5,1000.0,19.4
4,,1.0000,14,,1.0000*,272.3,1000.0,27.2
5,,1.0000,6,,1.0000*,644.7,1000.0,64.5
5,,1.0000*,8,,1.0000,496.9,1000.0,49.7
6,,1.0000*,7,,1.0000,771.6,1000.0,77.2
6,,1.0000,11,,1.0000*,369.2,1000.0,36.9
7,,1.0000,8,,1.0000*,46.2,1000.0,4.6
8,,1.0000,9,,1.0000*,35.8,1000.0,3.6
9,,1.0000,39,,1.0000*,156.5,1000.0,15.7
10,,1.0000*,11,,1.0000,354.7,1000.0,35.5
10,,1.0000,13,,1.0000*,312.2,1000.0,31.2
13,,1.0000*,14,,1.0000,305.1,1000.0,30.5
14,,1.0000,15,,1.0000*,92.2,1000.0,9.2
15,,1.0000*,16,,1.0000,292.8,1000.0,29.3
16,,1.0000*,17,,1.0000,217.2,1000.0,21.7
16,,1.0000,19,,1.0000*,454.5,500.0,90.9
16,,1.0000,21,,1.0000*,336.6,500.0,67.3
16,,1.0000*,24,,1.0000,86.0,500.0,17.2
17,,1.0000*,18,,1.0000,196.6,500.0,39.3
17,,1.0000*,27,,1.0000,24.5,500.0,4.9
21,,1.0000,22,,1.0000*,611.3,500.0,122.3
22,,1.0000,23,,1.0000*,73.6,500.0,14.7
23,,1.0000*,24,,1.0000,354.7,500.0,70.9
25,,1.0000,26,,1.0000*,82.5,500.0,16.5
26,,1.0000,27,,1.0000*,273.6,500.0,54.7
26,,1.0000,28,,1.0000*,156.5,500.0,31.3
26,,1.0000,29,,1.0000*,207.6,500.0,41.5
28,,1.0000,29,,1.0000*,352.6,500.0,70.5
