NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,117.01776123046875,30-1 
31,1 ,750.0,0.0,608.580322265625,800.0,-500.0,488.12884521484375,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,188.445556640625,32-1 
32,2 ,400.0,0.0,1000.0,300.0,0.0,289.916259765625,32-2 
33,1 ,750.0,0.0,632.0,800.0,-500.0,227.17752075195312,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,291.2327880859375,34-1 
35,1 ,750.0,0.0,650.0,800.0,-500.0,225.34214782714844,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,108.50776672363281,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,4.863368988037109,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,28.212839126586914,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,11.68446159362793,39-1 
