NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,115.65988159179688,30-1 
31,1 ,750.0,0.0,1599.555908203125,800.0,-500.0,741.7666625976562,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,112.31755065917969,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,223.27342224121094,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,289.34796142578125,34-1 
35,1 ,850.0,0.0,650.0,800.0,-500.0,221.16123962402344,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,106.13700103759766,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,5.873443126678467,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,28.084396362304688,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,18.590740203857422,39-1 
