from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT
1,,1.0000*,2,,1.0000,64.7,1000.0,6.5
1,,1.0000,39,,1.0000*,142.2,1000.0,14.2
2,,1.0000,3,,1.0000*,109.0,1000.0,10.9
2,,1.0000,25,,1.0000*,145.3,1000.0,14.5
3,,1.0000,4,,1.0000*,190.7,1000.0,19.1
3,,1.0000,18,,1.0000*,74.5,1000.0,7.5
4,,1.0000,5,,1.0000*,425.4,1000.0,42.5
4,,1.0000,14,,1.0000*,275.0,1000.0,27.5
5,,1.0000,6,,1.0000*,763.7,1000.0,76.4
5,,1.0000,8,,1.0000*,363.1,1000.0,36.3
6,,1.0000*,7,,1.0000,514.5,1000.0,51.4
6,,1.0000,11,,1.0000*,242.0,1000.0,24.2
7,,1.0000,8,,1.0000*,266.5,1000.0,26.7
8,,1.0000*,9,,1.0000,88.5,1000.0,8.8
9,,1.0000,39,,1.0000*,167.4,1000.0,16.7
10,,1.0000*,11,,1.0000,233.9,1000.0,23.4
10,,1.0000*,13,,1.0000,433.6,1000.0,43.4
13,,1.0000*,14,,1.0000,439.0,1000.0,43.9
14,,1.0000,15,,1.0000*,177.7,1000.0,17.8
15,,1.0000*,16,,1.0000,177.8,1000.0,17.8
16,,1.0000*,17,,1.0000,345.7,1000.0,34.6
16,,1.0000,19,,1.0000*,454.6,500.0,90.9
16,,1.0000,21,,1.0000*,336.0,500.0,67.2
16,,1.0000*,24,,1.0000,87.7,500.0,17.5
17,,1.0000*,18,,1.0000,205.4,500.0,41.1
17,,1.0000*,27,,1.0000,139.0,500.0,27.8
21,,1.0000,22,,1.0000*,611.7,500.0,122.3
22,,1.0000,23,,1.0000*,73.7,500.0,14.7
23,,1.0000*,24,,1.0000,354.6,500.0,70.9
25,,1.0000*,26,,1.0000,62.3,500.0,12.5
26,,1.0000,27,,1.0000*,155.8,500.0,31.2
26,,1.0000,28,,1.0000*,154.2,500.0,30.8
26,,1.0000,29,,1.0000*,205.5,500.0,41.1
28,,1.0000,29,,1.0000*,351.9,500.0,70.4
