NUMBER,PU,Angle
1,1.0542327165603638,-0.5583345890045166
2,1.0620927810668945,-0.5904865264892578
3,1.0466324090957642,-0.5630665421485901
4,1.0349303483963013,-0.4712139964103699
5,1.0454682111740112,-0.39067015051841736
6,1.0464814901351929,-0.36544638872146606
7,1.033514380455017,-0.4138880670070648
8,1.031388282775879,-0.4285533130168915
9,1.0406261682510376,-0.4937779903411865
10,1.041018009185791,-0.3583885431289673
11,1.0417840480804443,-0.36147093772888184
12,1.0269005298614502,-0.3721517324447632
13,1.0374873876571655,-0.3811255395412445
14,1.0341641902923584,-0.43706512451171875
15,1.0266729593276978,-0.4998631179332733
16,1.0381734371185303,-0.4997745156288147
17,1.0395524501800537,-0.5397616624832153
18,1.040944218635559,-0.5560361742973328
19,1.0521856546401978,-0.4193946123123169
20,0.9921450018882751,-0.4439013600349426
21,1.0362646579742432,-0.4580897390842438
22,1.0522067546844482,-0.380842000246048
23,1.0472850799560547,-0.38428908586502075
24,1.0431442260742188,-0.49768486618995667
25,1.0312594175338745,-0.6340454816818237
26,1.0447274446487427,-0.5815639495849609
27,1.0367933511734009,-0.5827513337135315
28,1.0463193655014038,-0.5198907852172852
29,1.0473334789276123,-0.4715323746204376
30,1.0475000143051147,-0.5487849712371826
31,0.9819999933242798,-0.02769487537443638
32,0.9830999970436096,-0.22205044329166412
33,0.9971999526023865,-0.32842516899108887
34,1.0123000144958496,-0.3533642292022705
35,1.049299955368042,-0.2944421172142029
36,1.0635000467300415,-0.2475145310163498
37,1.0277999639511108,-0.5132654905319214
38,1.0264999866485596,-0.3480735421180725
39,1.0299999713897705,-0.5376991033554077
