from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3,PERCENT.1
1,,1.0000,2,,1.0000*,83.9,1000.0,8.4,1.0,8394.9
1,,1.0000,39,,1.0000*,111.5,1000.0,11.2,1.0,11152.4
2,,1.0000,3,,1.0000*,83.0,1000.0,8.3,1.0,8303.7
2,,1.0000,25,,1.0000*,260.9,1000.0,26.1,1.0,26088.6
3,,1.0000*,4,,1.0000,73.2,1000.0,7.3,1.0,7320.7
3,,1.0000,18,,1.0000*,289.2,1000.0,28.9,1.0,28925.0
4,,1.0000*,5,,1.0000,262.2,1000.0,26.2,1.0,26223.4
4,,1.0000,14,,1.0000*,317.3,1000.0,31.7,1.0,31725.8
5,,1.0000,6,,1.0000*,555.5,1000.0,55.6,1.0,55551.2
5,,1.0000,8,,1.0000*,358.4,1000.0,35.8,1.0,35839.7
6,,1.0000*,7,,1.0000,476.1,1000.0,47.6,1.0,47605.9
6,,1.0000,11,,1.0000*,381.1,1000.0,38.1,1.0,38107.3
7,,1.0000,8,,1.0000*,228.1,1000.0,22.8,1.0,22808.2
8,,1.0000*,9,,1.0000,53.1,1000.0,5.3,1.0,5306.7
9,,1.0000,39,,1.0000*,147.0,1000.0,14.7,1.0,14696.8
10,,1.0000*,11,,1.0000,364.5,1000.0,36.4,1.0,36448.5
10,,1.0000,13,,1.0000*,310.9,1000.0,31.1,1.0,31089.2
13,,1.0000,14,,1.0000*,298.6,1000.0,29.9,1.0,29857.3
14,,1.0000,15,,1.0000*,126.6,1000.0,12.7,1.0,12659.8
15,,1.0000,16,,1.0000*,342.8,1000.0,34.3,1.0,34275.9
16,,1.0000,17,,1.0000*,225.1,1000.0,22.5,1.0,22511.6
16,,1.0000,19,,1.0000*,464.1,500.0,92.8,1.0,46414.4
16,,1.0000,21,,1.0000*,330.3,500.0,66.1,1.0,33033.5
16,,1.0000*,24,,1.0000,120.4,500.0,24.1,1.0,12043.0
17,,1.0000*,18,,1.0000,424.8,500.0,85.0,1.0,42481.0
17,,1.0000,27,,1.0000*,386.3,500.0,77.3,1.0,38634.1
21,,1.0000,22,,1.0000*,621.8,500.0,124.4,1.0,62178.1
22,,1.0000,23,,1.0000*,76.1,500.0,15.2,1.0,7614.3
23,,1.0000*,24,,1.0000,354.2,500.0,70.8,1.0,35423.1
25,,1.0000*,26,,1.0000,630.1,500.0,126.0,1.0,63005.7
26,,1.0000,27,,1.0000*,580.2,500.0,116.0,1.0,58017.8
26,,1.0000*,28,,1.0000,628.7,500.0,125.7,1.0,62867.9
26,,1.0000,29,,1.0000*,679.4,500.0,135.9,1.0,67940.9
28,,1.0000,29,,1.0000*,842.7,500.0,168.5,1.0,84267.9
