NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,70.67902374267578,30-1 
31,1 ,750.0,0.0,1598.3314208984375,800.0,-500.0,730.09814453125,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,94.44825744628906,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,94.65375518798828,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,160.36793518066406,34-1 
35,1 ,850.0,0.0,650.0,800.0,-500.0,195.0814666748047,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,91.3470687866211,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,114.60970306396484,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,39.611167907714844,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,12.162683486938477,39-1 
