NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,7.364109039306641,30-1 
30,2 ,400.0,0.0,1000.0,300.0,0.0,29.456436157226562,30-2 
31,1 ,750.0,0.0,599.0325317382812,800.0,-500.0,383.9838562011719,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,17.437828063964844,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,85.30010223388672,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,156.0338134765625,34-1 
35,1 ,750.0,0.0,650.0,800.0,-500.0,184.58506774902344,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,85.39476013183594,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,194.5833282470703,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,53.78929901123047,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,-4.890861511230469,39-1 
