from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3,PERCENT.1
1,,1.0000*,2,,1.0000,496.5,1000.0,49.6,1.0,49645.3
1,,1.0000,39,,1.0000*,502.7,1000.0,50.3,1.0,50274.1
2,,1.0000,3,,1.0000*,131.2,1000.0,13.1,1.0,13123.2
2,,1.0000*,25,,1.0000,609.0,1000.0,60.9,1.0,60899.6
3,,1.0000,4,,1.0000*,198.9,1000.0,19.9,1.0,19891.8
3,,1.0000,18,,1.0000*,59.6,1000.0,6.0,1.0,5962.6
4,,1.0000,5,,1.0000*,453.5,1000.0,45.3,1.0,45348.4
4,,1.0000,14,,1.0000*,256.0,1000.0,25.6,1.0,25603.3
5,,1.0000,6,,1.0000*,541.8,1000.0,54.2,1.0,54182.9
5,,1.0000,8,,1.0000*,198.8,1000.0,19.9,1.0,19875.2
6,,1.0000,7,,1.0000*,307.2,1000.0,30.7,1.0,30722.3
6,,1.0000,11,,1.0000*,240.4,1000.0,24.0,1.0,24037.6
7,,1.0000,8,,1.0000*,97.0,1000.0,9.7,1.0,9703.6
8,,1.0000*,9,,1.0000,415.7,1000.0,41.6,1.0,41574.3
9,,1.0000,39,,1.0000*,438.5,1000.0,43.8,1.0,43847.6
10,,1.0000*,11,,1.0000,232.4,1000.0,23.2,1.0,23241.4
10,,1.0000*,13,,1.0000,435.0,1000.0,43.5,1.0,43496.3
13,,1.0000*,14,,1.0000,439.9,1000.0,44.0,1.0,43987.6
14,,1.0000,15,,1.0000*,195.5,1000.0,19.6,1.0,19550.4
15,,1.0000*,16,,1.0000,161.7,1000.0,16.2,1.0,16174.4
16,,1.0000*,17,,1.0000,361.4,1000.0,36.1,1.0,36143.7
16,,1.0000,19,,1.0000*,455.0,500.0,91.0,1.0,45496.1
16,,1.0000,21,,1.0000*,334.8,500.0,67.0,1.0,33478.0
16,,1.0000*,24,,1.0000,91.7,500.0,18.3,1.0,9167.1
17,,1.0000*,18,,1.0000,167.9,500.0,33.6,1.0,16794.0
17,,1.0000,27,,1.0000*,197.2,500.0,39.4,1.0,19716.3
21,,1.0000,22,,1.0000*,612.6,500.0,122.5,1.0,61264.7
22,,1.0000,23,,1.0000*,74.0,500.0,14.8,1.0,7403.9
23,,1.0000*,24,,1.0000,354.3,500.0,70.9,1.0,35427.8
25,,1.0000*,26,,1.0000,128.9,500.0,25.8,1.0,12885.0
26,,1.0000,27,,1.0000*,97.2,500.0,19.4,1.0,9724.2
26,,1.0000,28,,1.0000*,149.7,500.0,29.9,1.0,14968.3
26,,1.0000,29,,1.0000*,201.1,500.0,40.2,1.0,20105.8
28,,1.0000,29,,1.0000*,350.6,500.0,70.1,1.0,35063.0
