from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT
1,,1.0000*,2,,1.0000,70.3,1000.0,7.0
1,,1.0000,39,,1.0000*,136.7,1000.0,13.7
2,,1.0000*,3,,1.0000,397.4,1000.0,39.7
2,,1.0000,25,,1.0000*,228.9,1000.0,22.9
3,,1.0000,4,,1.0000*,182.2,1000.0,18.2
3,,1.0000,18,,1.0000*,256.9,1000.0,25.7
4,,1.0000,5,,1.0000*,446.4,1000.0,44.6
4,,1.0000,14,,1.0000*,249.7,1000.0,25.0
5,,1.0000,6,,1.0000*,763.6,1000.0,76.4
5,,1.0000,8,,1.0000*,344.9,1000.0,34.5
6,,1.0000*,7,,1.0000,499.8,1000.0,50.0
6,,1.0000,11,,1.0000*,223.6,1000.0,22.4
7,,1.0000,8,,1.0000*,251.9,1000.0,25.2
8,,1.0000*,9,,1.0000,58.4,1000.0,5.8
9,,1.0000,39,,1.0000*,152.7,1000.0,15.3
10,,1.0000*,11,,1.0000,215.4,1000.0,21.5
10,,1.0000*,13,,1.0000,453.3,1000.0,45.3
13,,1.0000*,14,,1.0000,459.8,1000.0,46.0
14,,1.0000,15,,1.0000*,219.0,1000.0,21.9
15,,1.0000*,16,,1.0000,143.1,1000.0,14.3
16,,1.0000*,17,,1.0000,386.8,1000.0,38.7
16,,1.0000,19,,1.0000*,455.1,500.0,91.0
16,,1.0000,21,,1.0000*,334.5,500.0,66.9
16,,1.0000*,24,,1.0000,92.8,500.0,18.6
17,,1.0000*,18,,1.0000,405.9,500.0,81.2
17,,1.0000*,27,,1.0000,33.2,500.0,6.6
21,,1.0000,22,,1.0000*,612.9,500.0,122.6
22,,1.0000,23,,1.0000*,74.1,500.0,14.8
23,,1.0000*,24,,1.0000,354.2,500.0,70.8
25,,1.0000,26,,1.0000*,116.6,500.0,23.3
26,,1.0000,27,,1.0000*,310.0,500.0,62.0
26,,1.0000,28,,1.0000*,154.4,500.0,30.9
26,,1.0000,29,,1.0000*,205.6,500.0,41.1
28,,1.0000,29,,1.0000*,352.0,500.0,70.4
