Begin Report RATE_3
PSS(R)E Xplore-36.1.0 LIMIT CHECKING REPORT - BRANCH FLOWS          SAT, APR 26 2025  22:10
NEW ENGLAND TEST SYSTEM, 39 BUSES, 9 GENERATORS
CREATED BY PABLO LEDESMA PABLOLE@ING.UC3M.ES

SUBSYSTEM LOADING CHECK (INCLUDED: LINES; BREAKERS AND SWITCHES; TRANSFORMERS) (EXCLUDED: NONE)
MVA LOADINGS ABOVE 100.0 % OF BRANCH RATING:
LOADINGS ABOVE 100.0 % OF SWITCHING DEVICE RATING

X----------- FROM BUS ------------X X------------ TO BUS -------------X               RATING SET 1    RATING SET 3
  BUS#-SCT X-- NAME --X BASKV  AREA   BUS#-SCT X-- NAME --X BASKV  AREA CKT LOADING   RATE1 PERCENT   RATE3 PERCENT
     1     1           1.0000*    1      2     2           1.0000     1  1     70.3  1000.0     7.0     1.0  7032.7
     1     1           1.0000     1     39     39          1.0000*    1  1    136.7  1000.0    13.7     1.0 13669.3
     2     2           1.0000*    1      3     3           1.0000     1  1    397.4  1000.0    39.7     1.0 39742.6
     2     2           1.0000     1     25     25          1.0000*    1  1    228.9  1000.0    22.9     1.0 22891.8
     3     3           1.0000     1      4     4           1.0000*    1  1    182.2  1000.0    18.2     1.0 18215.9
     3     3           1.0000     1     18     18          1.0000*    1  1    256.9  1000.0    25.7     1.0 25689.6
     4     4           1.0000     1      5     5           1.0000*    1  1    446.4  1000.0    44.6     1.0 44638.3
     4     4           1.0000     1     14     14          1.0000*    1  1    249.7  1000.0    25.0     1.0 24971.0
     5     5           1.0000     1      6     6           1.0000*    1  1    763.6  1000.0    76.4     1.0 76358.2
     5     5           1.0000     1      8     8           1.0000*    1  1    344.9  1000.0    34.5     1.0 34489.5
     6     6           1.0000*    1      7     7           1.0000     1  1    499.8  1000.0    50.0     1.0 49977.6
     6     6           1.0000     1     11     11          1.0000*    1  1    223.6  1000.0    22.4     1.0 22358.3
     7     7           1.0000     1      8     8           1.0000*    1  1    251.9  1000.0    25.2     1.0 25194.0
     8     8           1.0000*    1      9     9           1.0000     1  1     58.4  1000.0     5.8     1.0  5837.0
     9     9           1.0000     1     39     39          1.0000*    1  1    152.7  1000.0    15.3     1.0 15266.2
    10     10          1.0000*    1     11     11          1.0000     1  1    215.4  1000.0    21.5     1.0 21540.0
    10     10          1.0000*    1     13     13          1.0000     1  1    453.3  1000.0    45.3     1.0 45332.2
    13     13          1.0000*    1     14     14          1.0000     1  1    459.8  1000.0    46.0     1.0 45980.6
    14     14          1.0000     1     15     15          1.0000*    1  1    219.0  1000.0    21.9     1.0 21901.4
    15     15          1.0000*    1     16     16          1.0000     1  1    143.1  1000.0    14.3     1.0 14307.0
    16     16          1.0000*    1     17     17          1.0000     1  1    386.8  1000.0    38.7     1.0 38677.6
    16     16          1.0000     1     19     19          1.0000*    1  1    455.1   500.0    91.0     1.0 45510.2
    16     16          1.0000     1     21     21          1.0000*    1  1    334.5   500.0    66.9     1.0 33446.6
    16     16          1.0000*    1     24     24          1.0000     1  1     92.8   500.0    18.6     1.0  9278.2
    17     17          1.0000*    1     18     18          1.0000     1  1    405.9   500.0    81.2     1.0 40585.4
    17     17          1.0000*    1     27     27          1.0000     1  1     33.2   500.0     6.6     1.0  3320.3
    21     21          1.0000     1     22     22          1.0000*    1  1    612.9   500.0   122.6     1.0 61292.2
    22     22          1.0000     1     23     23          1.0000*    1  1     74.1   500.0    14.8     1.0  7412.1
    23     23          1.0000*    1     24     24          1.0000     1  1    354.2   500.0    70.8     1.0 35421.4
    25     25          1.0000     1     26     26          1.0000*    1  1    116.6   500.0    23.3     1.0 11659.5
    26     26          1.0000     1     27     27          1.0000*    1  1    310.0   500.0    62.0     1.0 30998.0
    26     26          1.0000     1     28     28          1.0000*    1  1    154.4   500.0    30.9     1.0 15435.6
    26     26          1.0000     1     29     29          1.0000*    1  1    205.6   500.0    41.1     1.0 20556.4
    28     28          1.0000     1     29     29          1.0000*    1  1    352.0   500.0    70.4     1.0 35196.8
