NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,177.7655792236328,30-1 
31,1 ,750.0,0.0,620.6698608398438,800.0,-500.0,452.81658935546875,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,88.51560974121094,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,212.8643035888672,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,215.15194702148438,34-1 
35,1 ,750.0,0.0,650.0,800.0,-500.0,190.1073760986328,35-1 
35,2 ,400.0,0.0,1000.0,300.0,0.0,292.4728698730469,35-2 
36,1 ,670.0,0.0,560.0,800.0,-500.0,312.26385498046875,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,23.12725067138672,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,61.05848693847656,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,17.692768096923828,39-1 
