from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3 PERCENT
1,,1.0000*,2,,1.0000,44.0,1000.0,4.4,1.0  4395.5
1,,1.0000,39,,1.0000*,121.5,1000.0,12.1,1.0 12146.0
2,,1.0000*,3,,1.0000,441.2,1000.0,44.1,1.0 44121.3
2,,1.0000,25,,1.0000*,186.4,1000.0,18.6,1.0 18640.8
3,,1.0000,4,,1.0000*,440.6,1000.0,44.1,1.0 44059.1
3,,1.0000*,18,,1.0000,544.4,1000.0,54.4,1.0 54444.2
4,,1.0000,5,,1.0000*,717.4,1000.0,71.7,1.0 71740.5
4,,1.0000,14,,1.0000*,232.3,1000.0,23.2,1.0 23232.3
5,,1.0000,6,,1.0000*,1048.0,1000.0,104.8,1.0104799.5
5,,1.0000*,8,,1.0000,347.6,1000.0,34.8,1.0 34757.3
6,,1.0000*,7,,1.0000,556.3,1000.0,55.6,1.0 55630.9
6,,1.0000,11,,1.0000*,72.0,1000.0,7.2,1.0  7202.4
7,,1.0000*,8,,1.0000,309.6,1000.0,31.0,1.0 30960.4
8,,1.0000*,9,,1.0000,135.1,1000.0,13.5,1.0 13506.2
9,,1.0000,39,,1.0000*,156.0,1000.0,15.6,1.0 15595.3
10,,1.0000*,11,,1.0000,50.5,1000.0,5.0,1.0  5046.2
10,,1.0000*,13,,1.0000,610.7,1000.0,61.1,1.0 61069.3
13,,1.0000*,14,,1.0000,630.5,1000.0,63.0,1.0 63049.7
14,,1.0000*,15,,1.0000,395.4,1000.0,39.5,1.0 39538.5
15,,1.0000*,16,,1.0000,160.0,1000.0,16.0,1.0 16003.7
16,,1.0000*,17,,1.0000,566.6,1000.0,56.7,1.0 56659.1
16,,1.0000,19,,1.0000*,459.4,500.0,91.9,1.0 45940.5
16,,1.0000,21,,1.0000*,331.1,500.0,66.2,1.0 33111.6
16,,1.0000*,24,,1.0000,109.7,500.0,21.9,1.0 10972.0
17,,1.0000*,18,,1.0000,620.9,500.0,124.2,1.0 62088.9
17,,1.0000*,27,,1.0000,69.5,500.0,13.9,1.0  6949.5
21,,1.0000,22,,1.0000*,617.9,700.0,88.3,1.0 61789.4
22,,1.0000,23,,1.0000*,75.4,500.0,15.1,1.0  7536.2
23,,1.0000*,24,,1.0000,353.9,500.0,70.8,1.0 35386.2
25,,1.0000,26,,1.0000*,150.5,500.0,30.1,1.0 15051.6
26,,1.0000,27,,1.0000*,347.1,500.0,69.4,1.0 34711.9
26,,1.0000,28,,1.0000*,150.4,500.0,30.1,1.0 15041.7
26,,1.0000,29,,1.0000*,201.8,500.0,40.4,1.0 20178.1
28,,1.0000,29,,1.0000*,350.8,500.0,70.2,1.0 35082.4
