NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,164.77542114257812,30-1 
31,1 ,750.0,0.0,1590.9722900390625,800.0,-500.0,737.2100219726562,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,101.90701293945312,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,95.40501403808594,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,160.71604919433594,34-1 
35,1 ,850.0,0.0,650.0,800.0,-500.0,195.92462158203125,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,91.82522583007812,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,-16.223731994628906,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,12.518882751464844,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,43.560829162597656,39-1 
