from_bus BUS#-SCT,from_bus NAME,from_bus --X BASKV,to_bus BUS#-SCT.1,to_bus NAME.1,to_bus --X BASKV.1,LOADING,RATE1,PERCENT,RATE3,PERCENT.1
1,,1.0000,2,,1.0000*,82.8,1000.0,8.3,1.0,8278.4
1,,1.0000,39,,1.0000*,136.0,1000.0,13.6,1.0,13600.8
2,,1.0000,3,,1.0000*,296.0,1000.0,29.6,1.0,29596.5
2,,1.0000,25,,1.0000*,424.5,1000.0,42.5,1.0,42453.1
3,,1.0000*,4,,1.0000,458.8,1000.0,45.9,1.0,45877.4
3,,1.0000,18,,1.0000*,155.6,1000.0,15.6,1.0,15555.6
4,,1.0000,5,,1.0000*,480.8,1000.0,48.1,1.0,48079.9
4,,1.0000*,14,,1.0000,494.0,1000.0,49.4,1.0,49399.7
5,,1.0000,6,,1.0000*,856.4,1000.0,85.6,1.0,85637.3
5,,1.0000*,8,,1.0000,399.3,1000.0,39.9,1.0,39929.1
6,,1.0000*,7,,1.0000,563.8,1000.0,56.4,1.0,56384.9
6,,1.0000*,11,,1.0000,853.7,1000.0,85.4,1.0,85365.2
7,,1.0000*,8,,1.0000,316.3,1000.0,31.6,1.0,31627.2
8,,1.0000*,9,,1.0000,186.1,1000.0,18.6,1.0,18610.0
9,,1.0000,39,,1.0000*,203.0,1000.0,20.3,1.0,20304.4
10,,1.0000,11,,1.0000*,838.7,1000.0,83.9,1.0,83870.7
10,,1.0000*,13,,1.0000,824.8,1000.0,82.5,1.0,82482.9
13,,1.0000*,14,,1.0000,818.4,1000.0,81.8,1.0,81843.0
14,,1.0000*,15,,1.0000,322.1,1000.0,32.2,1.0,32213.4
15,,1.0000*,16,,1.0000,156.2,1000.0,15.6,1.0,15619.3
16,,1.0000*,17,,1.0000,497.1,1000.0,49.7,1.0,49706.5
16,,1.0000,19,,1.0000*,457.0,500.0,91.4,1.0,45697.2
16,,1.0000,21,,1.0000*,332.3,500.0,66.5,1.0,33229.8
16,,1.0000*,24,,1.0000,102.1,500.0,20.4,1.0,10208.5
17,,1.0000*,18,,1.0000,311.1,500.0,62.2,1.0,31112.2
17,,1.0000*,27,,1.0000,189.3,500.0,37.9,1.0,18928.8
21,,1.0000,22,,1.0000*,615.5,500.0,123.1,1.0,61547.4
22,,1.0000,23,,1.0000*,74.8,500.0,15.0,1.0,7480.5
23,,1.0000*,24,,1.0000,353.9,500.0,70.8,1.0,35387.6
25,,1.0000,26,,1.0000*,106.3,500.0,21.3,1.0,10631.9
26,,1.0000,27,,1.0000*,142.3,500.0,28.5,1.0,14232.4
26,,1.0000,28,,1.0000*,153.7,500.0,30.7,1.0,15369.1
26,,1.0000,29,,1.0000*,204.9,500.0,41.0,1.0,20493.5
28,,1.0000,29,,1.0000*,351.8,500.0,70.4,1.0,35176.5
