Begin Report RATE_3
PSS(R)E Xplore-36.1.0 LIMIT CHECKING REPORT - BRANCH FLOWS          SAT, APR 26 2025  22:09
NEW ENGLAND TEST SYSTEM, 39 BUSES, 9 GENERATORS
CREATED BY PABLO LEDESMA PABLOLE@ING.UC3M.ES

SUBSYSTEM LOADING CHECK (INCLUDED: LINES; BREAKERS AND SWITCHES; TRANSFORMERS) (EXCLUDED: NONE)
MVA LOADINGS ABOVE 100.0 % OF BRANCH RATING:
LOADINGS ABOVE 100.0 % OF SWITCHING DEVICE RATING

X----------- FROM BUS ------------X X------------ TO BUS -------------X               RATING SET 1    RATING SET 3
  BUS#-SCT X-- NAME --X BASKV  AREA   BUS#-SCT X-- NAME --X BASKV  AREA CKT LOADING   RATE1 PERCENT   RATE3 PERCENT
     1     1           1.0000*    1      2     2           1.0000     1  1    145.6  1000.0    14.6     1.0 14559.0
     1     1           1.0000     1     39     39          1.0000*    1  1    181.5  1000.0    18.1     1.0 18149.3
     2     2           1.0000*    1      3     3           1.0000     1  1    367.4  1000.0    36.7     1.0 36738.8
     2     2           1.0000     1     25     25          1.0000*    1  1    291.0  1000.0    29.1     1.0 29095.8
     3     3           1.0000*    1      4     4           1.0000     1  1    173.8  1000.0    17.4     1.0 17382.3
     3     3           1.0000     1     18     18          1.0000*    1  1    141.1  1000.0    14.1     1.0 14111.2
     4     4           1.0000*    1      5     5           1.0000     1  1    151.8  1000.0    15.2     1.0 15179.3
     4     4           1.0000     1     14     14          1.0000*    1  1    246.5  1000.0    24.6     1.0 24647.6
     5     5           1.0000     1      6     6           1.0000*    1  1    402.6  1000.0    40.3     1.0 40258.3
     5     5           1.0000     1      8     8           1.0000*    1  1    335.4  1000.0    33.5     1.0 33540.9
     6     6           1.0000*    1      7     7           1.0000     1  1    426.2  1000.0    42.6     1.0 42615.6
     6     6           1.0000     1     11     11          1.0000*    1  1    163.3  1000.0    16.3     1.0 16331.3
     7     7           1.0000     1      8     8           1.0000*    1  1    178.8  1000.0    17.9     1.0 17875.9
     8     8           1.0000     1      9     9           1.0000*    1  1     46.1  1000.0     4.6     1.0  4609.1
     9     9           1.0000     1     39     39          1.0000*    1  1    161.2  1000.0    16.1     1.0 16122.9
    10     10          1.0000*    1     11     11          1.0000     1  1    533.5  1000.0    53.3     1.0 53349.6
    10     10          1.0000     1     13     13          1.0000*    1  1    135.9  1000.0    13.6     1.0 13586.7
    13     13          1.0000     1     14     14          1.0000*    1  1    107.2  1000.0    10.7     1.0 10715.8
    14     14          1.0000     1     15     15          1.0000*    1  1    177.0  1000.0    17.7     1.0 17695.6
    15     15          1.0000     1     16     16          1.0000*    1  1    463.0  1000.0    46.3     1.0 46299.7
    16     16          1.0000*    1     17     17          1.0000     1  1    333.7  1000.0    33.4     1.0 33370.5
    16     16          1.0000     1     19     19          1.0000*    1  1    751.3   500.0   150.3     1.0 75132.0
    16     16          1.0000     1     21     21          1.0000*    1  1    334.3   500.0    66.9     1.0 33430.6
    16     16          1.0000*    1     24     24          1.0000     1  1     93.4   500.0    18.7     1.0  9335.5
    17     17          1.0000*    1     18     18          1.0000     1  1    288.5   500.0    57.7     1.0 28850.8
    17     17          1.0000*    1     27     27          1.0000     1  1     49.5   500.0     9.9     1.0  4952.5
    21     21          1.0000     1     22     22          1.0000*    1  1    613.1   500.0   122.6     1.0 61306.5
    22     22          1.0000     1     23     23          1.0000*    1  1     74.2   500.0    14.8     1.0  7416.3
    23     23          1.0000*    1     24     24          1.0000     1  1    354.2   500.0    70.8     1.0 35418.1
    25     25          1.0000     1     26     26          1.0000*    1  1     64.7   500.0    12.9     1.0  6467.3
    26     26          1.0000     1     27     27          1.0000*    1  1    253.0   500.0    50.6     1.0 25303.7
    26     26          1.0000     1     28     28          1.0000*    1  1    155.6   500.0    31.1     1.0 15562.3
    26     26          1.0000     1     29     29          1.0000*    1  1    206.8   500.0    41.4     1.0 20675.6
    28     28          1.0000     1     29     29          1.0000*    1  1    352.4   500.0    70.5     1.0 35236.5
