NUMBER,ID,PMAX,PMIN,PGEN,QMAX,QMIN,QGEN,BusNum-GenID
30,1 ,500.0,0.0,250.0,800.0,-500.0,98.69351959228516,30-1 
31,1 ,750.0,0.0,1571.84912109375,800.0,-500.0,687.96484375,31-1 
32,1 ,750.0,0.0,650.0,800.0,-500.0,77.90580749511719,32-1 
33,1 ,750.0,0.0,632.0,800.0,-500.0,80.88410949707031,33-1 
34,1 ,650.0,0.0,508.0,800.0,-300.0,153.98765563964844,34-1 
35,1 ,850.0,0.0,650.0,800.0,-500.0,179.63003540039062,35-1 
36,1 ,670.0,0.0,560.0,800.0,-500.0,82.5848388671875,36-1 
37,1 ,700.0,0.0,540.0,800.0,-500.0,-24.912500381469727,37-1 
38,1 ,1000.0,0.0,830.0,800.0,-500.0,6.197681427001953,38-1 
39,1 ,1500.0,0.0,1000.0,1500.0,-1000.0,-1.116830825805664,39-1 
